country,year,month,date,shipments,container_total,shipments_vrac,weight_total
GUATEMALA,2019,Jan,1/1/2019,25,232,3,"5,592,550"
GUATEMALA,2019,Feb,2/1/2019,24,140,4,"12,676,428"
GUATEMALA,2019,Mar,3/1/2019,15,108,1,"2,052,499"
GUATEMALA,2019,Apr,4/1/2019,22,61,1,"1,025,335"
GUATEMALA,2019,May,5/1/2019,19,79,3,"1,871,805"
GUATEMALA,2019,Jun,6/1/2019,30,60,9,"1,230,438"
GUATEMALA,2019,Jul,7/1/2019,32,109,11,"5,117,223"
GUATEMALA,2019,Aug,8/1/2019,22,79,6,"3,723,938"
GUATEMALA,2019,Sep,9/1/2019,31,78,7,"1,654,543"
GUATEMALA,2019,Oct,10/1/2019,18,100,4,"5,904,038"
GUATEMALA,2019,Nov,11/1/2019,16,119,2,"3,982,798"
GUATEMALA,2019,Dec,12/1/2019,12,60,1,"1,386,015"
GUATEMALA,2020,Jan,1/1/2020,17,81,2,"1,843,511"
GUATEMALA,2020,Feb,2/1/2020,20,137,2,"3,329,330"
GUATEMALA,2020,Mar,3/1/2020,33,121,5,"7,738,740"
GUATEMALA,2020,Apr,4/1/2020,14,55,1,"4,824,841"
GUATEMALA,2020,May,5/1/2020,14,56,0,"1,168,006"
GUATEMALA,2020,Jun,6/1/2020,16,62,4,"10,745,041"
GUATEMALA,2020,Jul,7/1/2020,16,28,1,"467,374"
GUATEMALA,2020,Aug,8/1/2020,22,67,6,"3,059,032"
GUATEMALA,2020,Sep,9/1/2020,22,73,2,"1,458,344"
GUATEMALA,2020,Oct,10/1/2020,23,23,4,"5,415,048"
GUATEMALA,2020,Nov,11/1/2020,19,40,0,"697,168"
GUATEMALA,2020,Dec,12/1/2020,7,7,0,"104,619"
GUATEMALA,2021,Jan,1/1/2021,8,9,0,"118,103"
GUATEMALA,2021,Feb,2/1/2021,30,141,4,"6,220,529"
GUATEMALA,2021,Mar,3/1/2021,30,118,7,"10,088,014"
GUATEMALA,2021,Apr,4/1/2021,21,57,5,"6,516,073"
GUATEMALA,2021,May,5/1/2021,28,169,1,"4,747,412"
GUATEMALA,2021,Jun,6/1/2021,20,95,3,"4,321,995"
GUATEMALA,2021,Jul,7/1/2021,45,126,19,"19,737,217"
GUATEMALA,2021,Aug,8/1/2021,17,38,0,"759,361"
GUATEMALA,2021,Sep,9/1/2021,25,68,4,"3,641,554"
GUATEMALA,2021,Oct,10/1/2021,20,41,0,"780,826"
GUATEMALA,2021,Nov,11/1/2021,24,89,0,"2,032,941"
GUATEMALA,2021,Dec,12/1/2021,25,40,4,"3,061,569"
GUATEMALA,2022,Jan,1/1/2022,36,155,8,"13,529,611"
GUATEMALA,2018,Jan,1/1/2018,12,37,1,"3,228,179"
GUATEMALA,2018,Feb,2/1/2018,24,109,0,"2,625,171"
GUATEMALA,2018,Mar,3/1/2018,23,169,5,"8,681,505"
GUATEMALA,2018,Apr,4/1/2018,20,108,0,"2,411,674"
GUATEMALA,2018,May,5/1/2018,19,125,0,"2,507,196"
GUATEMALA,2018,Jun,6/1/2018,27,147,6,"19,725,003"
GUATEMALA,2018,Jul,7/1/2018,29,173,2,"9,683,321"
GUATEMALA,2018,Aug,8/1/2018,28,112,1,"2,261,237"
GUATEMALA,2018,Sep,9/1/2018,18,139,0,"2,680,443"
GUATEMALA,2018,Oct,10/1/2018,25,96,8,"9,473,477"
GUATEMALA,2018,Nov,11/1/2018,22,48,2,"799,758"
GUATEMALA,2018,Dec,12/1/2018,21,147,2,"3,280,358"
MEXICO,2019,Jan,1/1/2019,32,70,3,"1,538,824"
MEXICO,2019,Feb,2/1/2019,34,72,1,"1,096,084"
MEXICO,2019,Mar,3/1/2019,24,50,2,"920,381"
MEXICO,2019,Apr,4/1/2019,47,133,2,"1,868,023"
MEXICO,2019,May,5/1/2019,50,137,3,"2,727,132"
MEXICO,2019,Jun,6/1/2019,62,171,1,"5,105,596"
