country,year,month,date,shipments,container_total,shipments_vrac,weight_total
GUATEMALA,2019,Jan,1/1/2019,25,232,3,5592550
GUATEMALA,2019,Feb,2/1/2019,24,140,4,12676428
GUATEMALA,2019,Mar,3/1/2019,15,108,1,2052499
GUATEMALA,2019,Apr,4/1/2019,22,61,1,1025335
GUATEMALA,2019,May,5/1/2019,19,79,3,1871805
GUATEMALA,2019,Jun,6/1/2019,30,60,9,1230438
GUATEMALA,2019,Jul,7/1/2019,32,109,11,5117223
GUATEMALA,2019,Aug,8/1/2019,22,79,6,3723938
GUATEMALA,2019,Sep,9/1/2019,31,78,7,1654543
GUATEMALA,2019,Oct,10/1/2019,18,100,4,5904038
GUATEMALA,2019,Nov,11/1/2019,16,119,2,3982798
GUATEMALA,2019,Dec,12/1/2019,12,60,1,1386015
GUATEMALA,2020,Jan,1/1/2020,17,81,2,1843511
GUATEMALA,2020,Feb,2/1/2020,20,137,2,3329330
GUATEMALA,2020,Mar,3/1/2020,33,121,5,7738740
GUATEMALA,2020,Apr,4/1/2020,14,55,1,4824841
GUATEMALA,2020,May,5/1/2020,14,56,0,1168006
GUATEMALA,2020,Jun,6/1/2020,16,62,4,10745041
GUATEMALA,2020,Jul,7/1/2020,16,28,1,467374
GUATEMALA,2020,Aug,8/1/2020,22,67,6,3059032
GUATEMALA,2020,Sep,9/1/2020,22,73,2,1458344
GUATEMALA,2020,Oct,10/1/2020,23,23,4,5415048
GUATEMALA,2020,Nov,11/1/2020,19,40,0,697168
GUATEMALA,2020,Dec,12/1/2020,7,7,0,104619
GUATEMALA,2021,Jan,1/1/2021,8,9,0,118103
GUATEMALA,2021,Feb,2/1/2021,30,141,4,6220529
GUATEMALA,2021,Mar,3/1/2021,30,118,7,10088014
GUATEMALA,2021,Apr,4/1/2021,21,57,5,6516073
GUATEMALA,2021,May,5/1/2021,28,169,1,4747412
GUATEMALA,2021,Jun,6/1/2021,20,95,3,4321995
GUATEMALA,2021,Jul,7/1/2021,45,126,19,19737217
GUATEMALA,2021,Aug,8/1/2021,17,38,0,759361
GUATEMALA,2021,Sep,9/1/2021,25,68,4,3641554
GUATEMALA,2021,Oct,10/1/2021,20,41,0,780826
GUATEMALA,2021,Nov,11/1/2021,24,89,0,2032941
GUATEMALA,2021,Dec,12/1/2021,25,40,4,3061569
GUATEMALA,2022,Jan,1/1/2022,36,155,8,13529611
GUATEMALA,2022,Feb,2/1/2022,29,102,6,6930432
GUATEMALA,2018,Jan,1/1/2018,12,37,1,3228179
GUATEMALA,2018,Feb,2/1/2018,24,109,0,2625171
GUATEMALA,2018,Mar,3/1/2018,23,169,5,8681505
GUATEMALA,2018,Apr,4/1/2018,20,108,0,2411674
GUATEMALA,2018,May,5/1/2018,19,125,0,2507196
GUATEMALA,2018,Jun,6/1/2018,27,147,6,19725003
GUATEMALA,2018,Jul,7/1/2018,29,173,2,9683321
GUATEMALA,2018,Aug,8/1/2018,28,112,1,2261237
GUATEMALA,2018,Sep,9/1/2018,18,139,0,2680443
GUATEMALA,2018,Oct,10/1/2018,25,96,8,9473477
GUATEMALA,2018,Nov,11/1/2018,22,48,2,799758
GUATEMALA,2018,Dec,12/1/2018,21,147,2,3280358
MEXICO,2019,Jan,1/1/2019,32,70,3,1538824
MEXICO,2019,Feb,2/1/2019,34,72,1,1096084
MEXICO,2019,Mar,3/1/2019,24,50,2,920381
MEXICO,2019,Apr,4/1/2019,47,133,2,1868023
MEXICO,2019,May,5/1/2019,50,137,3,2727132
MEXICO,2019,Jun,6/1/2019,62,171,1,5105596
MEXICO,2019,Jul,7/1/2019,44,235,2,5089055
MEXICO,2019,Aug,8/1/2019,53,119,2,2135484
MEXICO,2019,Sep,9/1/2019,51,159,2,3182336
MEXICO,2019,Oct,10/1/2019,53,260,2,5745091
MEXICO,2019,Nov,11/1/2019,28,37,1,589151
MEXICO,2019,Dec,12/1/2019,29,78,4,2077623
