country,year,month,date,shipments,container_total,shipments_vrac,weight_total,
GUATEMALA,2019,Jan,1/1/2019,25,232,3,5592550.49,
GUATEMALA,2019,Feb,2/1/2019,24,140,4,12676427.53,
GUATEMALA,2019,Mar,3/1/2019,15,108,1,2052499.1,
GUATEMALA,2019,Apr,4/1/2019,22,61,1,1025335,
GUATEMALA,2019,May,5/1/2019,19,79,3,1871804.8,
GUATEMALA,2019,Jun,6/1/2019,30,60,9,1230437.9,
GUATEMALA,2019,Jul,7/1/2019,32,109,11,5117222.59,
GUATEMALA,2019,Aug,8/1/2019,22,79,6,3723938.04,
GUATEMALA,2019,Sep,9/1/2019,31,78,7,1654543.12,
GUATEMALA,2019,Oct,10/1/2019,18,100,4,5904038.42,
GUATEMALA,2019,Nov,11/1/2019,16,119,2,3982797.51,
GUATEMALA,2019,Dec,12/1/2019,12,60,1,1386014.87,
GUATEMALA,2020,Jan,1/1/2020,17,81,2,1843510.5,
GUATEMALA,2020,Feb,2/1/2020,20,137,2,3329329.55,
GUATEMALA,2020,Mar,3/1/2020,33,121,5,7738740.13,
GUATEMALA,2020,Apr,4/1/2020,14,55,1,4824841.23,
GUATEMALA,2020,May,5/1/2020,14,56,0,1168006.32,
GUATEMALA,2020,Jun,6/1/2020,16,62,4,10745041.3,
GUATEMALA,2020,Jul,7/1/2020,16,28,1,467374.12,
GUATEMALA,2020,Aug,8/1/2020,22,67,6,3059031.83,
GUATEMALA,2020,Sep,9/1/2020,22,73,2,1458343.6,
GUATEMALA,2020,Oct,10/1/2020,23,23,4,5415048.43,
GUATEMALA,2020,Nov,11/1/2020,19,40,0,697167.65,
GUATEMALA,2020,Dec,12/1/2020,7,7,0,104619.25,
GUATEMALA,2021,Jan,1/1/2021,8,9,0,118102.97,
GUATEMALA,2021,Feb,2/1/2021,30,141,4,6220529.47,
GUATEMALA,2021,Mar,3/1/2021,30,118,7,10088013.8,
GUATEMALA,2021,Apr,4/1/2021,21,57,5,6516073.24,
GUATEMALA,2021,May,5/1/2021,28,169,1,4747412.32,
GUATEMALA,2021,Jun,6/1/2021,20,95,3,4321994.5,
GUATEMALA,2021,Jul,7/1/2021,45,126,19,19737217.14,
GUATEMALA,2021,Aug,8/1/2021,17,38,0,759361.38,
GUATEMALA,2021,Sep,9/1/2021,25,68,4,3641554.34,
GUATEMALA,2021,Oct,10/1/2021,20,41,0,780826,
GUATEMALA,2021,Nov,11/1/2021,24,89,0,2032940.99,
GUATEMALA,2021,Dec,12/1/2021,25,40,4,3061569.39,
GUATEMALA,2022,Jan,1/1/2022,36,155,8,13529611.13,
GUATEMALA,2022,Feb,2/1/2022,29,102,6,6930431.91,
GUATEMALA,2022,Mar,3/1/2022,32,121,1,2714839.53,
GUATEMALA,2022,Apr,4/1/2022,26,60,8,9150829.02,
GUATEMALA,2022,May,5/1/2022,27,39,0,662855.37,
GUATEMALA,2022,Jun,6/1/2022,21,21,3,2940674.78,
GUATEMALA,2022,Jul,7/1/2022,11,22,0,404684.04,
GUATEMALA,2022,Aug,8/1/2022,33,88,7,10713448.39,
GUATEMALA,2022,Sep,9/1/2022,16,25,6,3588898.44,
GUATEMALA,2022,Oct,10/1/2022,14,24.5,0,180230.515,
GUATEMALA,2022,Nov,11/1/2022,6,6,0,91797.51,
GUATEMALA,2022,Dec,12/1/2022,9,11,0,175722.39,
GUATEMALA,2018,Jan,1/1/2018,12,37,1,3228178.93,
GUATEMALA,2018,Feb,2/1/2018,24,109,0,2625170.64,
GUATEMALA,2018,Mar,3/1/2018,23,169,5,8681504.68,
GUATEMALA,2018,Apr,4/1/2018,20,108,0,2411674.35,
GUATEMALA,2018,May,5/1/2018,19,125,0,2507195.51,
GUATEMALA,2018,Jun,6/1/2018,27,147,6,19725002.72,
GUATEMALA,2018,Jul,7/1/2018,29,173,2,9683320.67,
GUATEMALA,2018,Aug,8/1/2018,28,112,1,2261236.76,
GUATEMALA,2018,Sep,9/1/2018,18,139,0,2680442.79,
GUATEMALA,2018,Oct,10/1/2018,25,96,8,9473476.63,
GUATEMALA,2018,Nov,11/1/2018,22,48,2,799758.41,
GUATEMALA,2018,Dec,12/1/2018,21,147,2,3280358.26,
GUATEMALA,2023,Jan,1/1/2023,19,55,11,15841231.29,
GUATEMALA,2023,Feb,2/1/2023,22,36,5,6727124.47,
MEXICO,2019,Jan,1/1/2019,32,70,3,1538823.86,
MEXICO,2019,Feb,2/1/2019,34,72,1,1096083.96,
MEXICO,2019,Mar,3/1/2019,24,50,2,920380.84,
MEXICO,2019,Apr,4/1/2019,47,133,2,1868023.1,
MEXICO,2019,May,5/1/2019,50,137,3,2727131.66,
MEXICO,2019,Jun,6/1/2019,62,171,1,5105596.36,
MEXICO,2019,Jul,7/1/2019,44,235,2,5089054.7,
MEXICO,2019,Aug,8/1/2019,53,119,2,2135483.7,
MEXICO,2019,Sep,9/1/2019,51,159,2,3182336.24,
MEXICO,2019,Oct,10/1/2019,53,260,2,5745090.73,
MEXICO,2019,Nov,11/1/2019,28,37,1,589150.83,
MEXICO,2019,Dec,12/1/2019,29,78,4,2077622.67,
MEXICO,2020,Jan,1/1/2020,22,175,0,4068505.89,
MEXICO,2020,Feb,2/1/2020,50,250,1,4764267.8,
MEXICO,2020,Mar,3/1/2020,65,228,2,4292460.43,
MEXICO,2020,Apr,4/1/2020,50,228,0,4489409.12,
MEXICO,2020,May,5/1/2020,39,184,1,4135703.26,
MEXICO,2020,Jun,6/1/2020,62,233,0,4804447.64,
MEXICO,2020,Jul,7/1/2020,36,128,0,2664377.26,
MEXICO,2020,Aug,8/1/2020,43,103,4,8411801.04,
MEXICO,2020,Sep,9/1/2020,39,93,0,1653000.71,
MEXICO,2020,Oct,10/1/2020,41,83,2,1393054.15,
MEXICO,2020,Nov,11/1/2020,43,145,0,2979298.74,
MEXICO,2020,Dec,12/1/2020,74,199,5,13229286.32,
MEXICO,2021,Jan,1/1/2021,73,274,9,28467815.75,
MEXICO,2021,Feb,2/1/2021,31,94,0,1976570.57,
MEXICO,2021,Mar,3/1/2021,65,192,0,3746523.28,
MEXICO,2021,Apr,4/1/2021,50,240,0,5048547.61,
MEXICO,2021,May,5/1/2021,48,195,1,4056224.63,
MEXICO,2021,Jun,6/1/2021,42,90,4,1806031.48,
MEXICO,2021,Jul,7/1/2021,39,80,1,1283457.68,
MEXICO,2021,Aug,8/1/2021,26,42,1,563059.33,
MEXICO,2021,Sep,9/1/2021,51,94,3,1568773.08,
MEXICO,2021,Oct,10/1/2021,45,87,2,1568097.18,
MEXICO,2021,Nov,11/1/2021,40,98,0,1885571.54,
MEXICO,2021,Dec,12/1/2021,29,89,0,1683790.1,
MEXICO,2022,Jan,1/1/2022,37,84,3,1638829.76,
MEXICO,2022,Feb,2/1/2022,25,105,0,2275240.6,
MEXICO,2022,Mar,3/1/2022,42,112,0,2358797.06,
MEXICO,2022,Apr,4/1/2022,47,143,2,5093747.46,
MEXICO,2022,May,5/1/2022,32,107,0,2226553.46,
MEXICO,2022,Jun,6/1/2022,37,124,0,2660231.29,
MEXICO,2022,Jul,7/1/2022,30,81,0,1573689.08,
MEXICO,2022,Aug,8/1/2022,47,149,0,3062737.01,
MEXICO,2022,Sep,9/1/2022,18,95,0,2099903.92,
MEXICO,2022,Oct,10/1/2022,14,24.75,0,247472.6,
MEXICO,2022,Nov,11/1/2022,18,18,0,283933.94,
MEXICO,2022,Dec,12/1/2022,10,36,0,686954.98,
MEXICO,2018,Jan,1/1/2018,43,65,1,997051.78,
MEXICO,2018,Feb,2/1/2018,38,108,2,1383437.14,
MEXICO,2018,Mar,3/1/2018,38,123,0.999999999,2089284.28,
MEXICO,2018,Apr,4/1/2018,37,84,6,5830555.88,
MEXICO,2018,May,5/1/2018,50,98,0,1611212.14,
MEXICO,2018,Jun,6/1/2018,47,105,3,1944215.68,
MEXICO,2018,Jul,7/1/2018,56,116,3,16951856.08,
MEXICO,2018,Aug,8/1/2018,34,68,0,1163107.37,
MEXICO,2018,Sep,9/1/2018,47,98,4,19331690.37,
MEXICO,2018,Oct,10/1/2018,60,145,4,2500761.2,
MEXICO,2018,Nov,11/1/2018,71,209,2,3948134.52,
MEXICO,2018,Dec,12/1/2018,45,78,1,1324391.67,
MEXICO,2023,Jan,1/1/2023,14,40,0,695067.45,
MEXICO,2023,Feb,2/1/2023,17,76,0,1509715.12,
PANAMA,2019,Jan,1/1/2019,37,65,0,803141.36,
PANAMA,2019,Feb,2/1/2019,31,44,2,672441.31,
PANAMA,2019,Mar,3/1/2019,47,80,0,1063775.28,
PANAMA,2019,Apr,4/1/2019,53,88,0,1955410.9,
PANAMA,2019,May,5/1/2019,51,117,1,2365753.7,
PANAMA,2019,Jun,6/1/2019,52,133,1,2426241.3,
PANAMA,2019,Jul,7/1/2019,50,105,0,1581877,
PANAMA,2019,Aug,8/1/2019,45,75,0,1073995.92,
PANAMA,2019,Sep,9/1/2019,43,53,1,743773.29,
PANAMA,2019,Oct,10/1/2019,20,31,1,455789.9,
PANAMA,2019,Nov,11/1/2019,38,56,0,721178.61,
PANAMA,2019,Dec,12/1/2019,34,59,0,899942.64,
PANAMA,2020,Jan,1/1/2020,30,55,1,819148.79,
PANAMA,2020,Feb,2/1/2020,36,44,0,717179.46,
PANAMA,2020,Mar,3/1/2020,46,55,0,803075.11,
PANAMA,2020,Apr,4/1/2020,22,31,0,490679.2,
PANAMA,2020,May,5/1/2020,22,38,1,475543.46,
PANAMA,2020,Jun,6/1/2020,31,47,1,951603.64,
PANAMA,2020,Jul,7/1/2020,33,49,0,714402,
PANAMA,2020,Aug,8/1/2020,36,57,0,858000.12,
PANAMA,2020,Sep,9/1/2020,48,68,1,1142238.69,
PANAMA,2020,Oct,10/1/2020,30,44,0,716889.01,
PANAMA,2020,Nov,11/1/2020,86,111,0,1501244.91,
PANAMA,2020,Dec,12/1/2020,81,139,0,2341384.46,
PANAMA,2021,Jan,1/1/2021,38,40,0,599471.11,
PANAMA,2021,Feb,2/1/2021,57,160,0,2754242.12,
PANAMA,2021,Mar,3/1/2021,72,252,0,5613076.9,
PANAMA,2021,Apr,4/1/2021,168,102,110,2202710.46,
PANAMA,2021,May,5/1/2021,72,99,0,1147453.55,
PANAMA,2021,Jun,6/1/2021,78,76,13,1279675.07,
PANAMA,2021,Jul,7/1/2021,133,58,90,1462533.53,
PANAMA,2021,Aug,8/1/2021,65,80,0,1181626.7,
PANAMA,2021,Sep,9/1/2021,72,96,6,1403498.06,
PANAMA,2021,Oct,10/1/2021,89,115,11,2249207.09,
PANAMA,2021,Nov,11/1/2021,68,86,0,1417589.12,
PANAMA,2021,Dec,12/1/2021,101,164,0,3470218.72,
PANAMA,2022,Jan,1/1/2022,96,127,21,2845566.71,
PANAMA,2022,Feb,2/1/2022,64,76,0,1109178.17,
PANAMA,2022,Mar,3/1/2022,44,81,0,1080414.38,
PANAMA,2022,Apr,4/1/2022,135,51,92,6568739,
PANAMA,2022,May,5/1/2022,33,32,2,14858978.06,
PANAMA,2022,Jun,6/1/2022,46,69,0,1316680.29,
PANAMA,2022,Jul,7/1/2022,36,46,0,901677.57,
PANAMA,2022,Aug,8/1/2022,156,48,118,1388204.52,
PANAMA,2022,Sep,9/1/2022,14,16,0,277523.48,
PANAMA,2022,Oct,10/1/2022,85,11,78,362668.32,
PANAMA,2022,Nov,11/1/2022,12,12,0,411928.75,
PANAMA,2022,Dec,12/1/2022,13,19,0,340073.5,
PANAMA,2018,Jan,1/1/2018,35,63,4,1135767.55,
PANAMA,2018,Feb,2/1/2018,28,39,1,459446.11,
PANAMA,2018,Mar,3/1/2018,41,52,0,754262.09,
PANAMA,2018,Apr,4/1/2018,29,58,1,897256.44,
PANAMA,2018,May,5/1/2018,48,70,0,773738.18,
PANAMA,2018,Jun,6/1/2018,58,89,0,1207883.76,
PANAMA,2018,Jul,7/1/2018,56,128,1,2122467.71,
PANAMA,2018,Aug,8/1/2018,47,65,0,946287.55,
PANAMA,2018,Sep,9/1/2018,47,64,1,832768.61,
PANAMA,2018,Oct,10/1/2018,75,173,0,2088121.1,
PANAMA,2018,Nov,11/1/2018,60,106,0,1468958.6,
PANAMA,2018,Dec,12/1/2018,56,88,0,1301480.74,
PANAMA,2023,Jan,1/1/2023,28,26,2,574853.68,
PANAMA,2023,Feb,2/1/2023,21,45,0,964872.26,
SINGAPORE,2019,Jan,1/1/2019,1,1,0,22545.6,
SINGAPORE,2019,Feb,2/1/2019,2,5,0,114901,
SINGAPORE,2019,Mar,3/1/2019,2,2,0,21706.7,
SINGAPORE,2019,Apr,4/1/2019,3,5,0,24811.2,
SINGAPORE,2019,May,5/1/2019,1,1,0,18525,
SINGAPORE,2019,Jun,6/1/2019,2,6,0,91797.7,
SINGAPORE,2019,Jul,7/1/2019,1,1,0,7986,
SINGAPORE,2019,Aug,8/1/2019,3,2,1,2058165.8,
SINGAPORE,2019,Sep,9/1/2019,3,6,0,131823.7,
SINGAPORE,2019,Oct,10/1/2019,2,3,0,42997.8,
SINGAPORE,2019,Nov,11/1/2019,1,1,0,6741,
SINGAPORE,2019,Dec,12/1/2019,3,9,0,97808,
SINGAPORE,2020,Jan,1/1/2020,2,2,0,22334,
SINGAPORE,2020,Mar,3/1/2020,1,1,0,18456,
SINGAPORE,2020,Apr,4/1/2020,6,9,0,78979.68,
SINGAPORE,2020,May,5/1/2020,3,32,0,779911.5,
SINGAPORE,2020,Jun,6/1/2020,4,7,0,38770.75,
SINGAPORE,2020,Jul,7/1/2020,4,8,0,179774,
SINGAPORE,2020,Aug,8/1/2020,4,8,0,114688,
SINGAPORE,2020,Sep,9/1/2020,2,4,0,38260,
SINGAPORE,2020,Oct,10/1/2020,1,2,0,51116.79,
SINGAPORE,2020,Nov,11/1/2020,1,1,0,5698,
SINGAPORE,2020,Dec,12/1/2020,1,1,0,6559,
SINGAPORE,2021,Jan,1/1/2021,1,1,0,4607.9,
SINGAPORE,2021,Feb,2/1/2021,1,1,0,17616,
SINGAPORE,2021,Apr,4/1/2021,1,1,0,17616,
SINGAPORE,2021,Jul,7/1/2021,1,1,0,17520,
SINGAPORE,2021,Sep,9/1/2021,2,2,0,37592,
SINGAPORE,2021,Nov,11/1/2021,2,2,0,18860.46,
SINGAPORE,2021,Dec,12/1/2021,1,2,0,36006,
SINGAPORE,2022,Feb,2/1/2022,2,11,0,256657,
SINGAPORE,2022,Mar,3/1/2022,1,1,0,11425,
SINGAPORE,2018,Jan,1/1/2018,2,3,0,19375.76,
SINGAPORE,2018,Feb,2/1/2018,2,3,0,55891.52,
SINGAPORE,2018,Apr,4/1/2018,3,4,0,35390.2,
SINGAPORE,2018,May,5/1/2018,1,2,0,12606.3,
SINGAPORE,2018,Jun,6/1/2018,3,10,0,60713.18,
SINGAPORE,2018,Aug,8/1/2018,2,21,0,483506,
SINGAPORE,2018,Sep,9/1/2018,5,32,0,725017.65,
SINGAPORE,2018,Oct,10/1/2018,5,5,0,58875,
SINGAPORE,2018,Dec,12/1/2018,2,7,0,41544.8,
SINGAPORE,2023,Jan,1/1/2023,1,1,0,12110,
ALBANIA,2020,Nov,11/1/2020,2,2,0,50400,
ALGERIA,2021,Sep,9/1/2021,1,2,0,45752,
ALGERIA,2021,Nov,11/1/2021,1,2,0,5000,
ALGERIA,2022,Feb,2/1/2022,1,0,1,16590148,
ALGERIA,2022,May,5/1/2022,2,1,1,27516320,
ALGERIA,2022,Jul,7/1/2022,2,0,2,55010000,
ALGERIA,2022,Aug,8/1/2022,3,3,1,20356132,
ALGERIA,2022,Dec,12/1/2022,2,1,1,27608148.15,
ALGERIA,2023,Feb,2/1/2023,1,1,0,2240.86,
ANTIGUA AND BARBUDA,2019,Aug,8/1/2019,3,0,3,1461674,
ANTIGUA AND BARBUDA,2020,Apr,4/1/2020,2,0,2,20085000,
ANTIGUA AND BARBUDA,2018,Feb,2/1/2018,1,0,1,1920000,
ANTIGUA AND BARBUDA,2018,Mar,3/1/2018,1,0,1,2761454,
ANTIGUA AND BARBUDA,2018,Apr,4/1/2018,2,1,1,2598683,
ARGENTINA,2019,Jan,1/1/2019,4,5,1,7045927.3,
ARGENTINA,2019,Feb,2/1/2019,6,17,0,392998.8,
ARGENTINA,2019,Mar,3/1/2019,4,8,0,179506.78,
ARGENTINA,2019,Apr,4/1/2019,6,11,0,247773.4,
ARGENTINA,2019,May,5/1/2019,5,8,0,172157.6,
ARGENTINA,2019,Jun,6/1/2019,11,15,2,2458744.3,
ARGENTINA,2019,Jul,7/1/2019,10,25,3,2932578.7,
ARGENTINA,2019,Aug,8/1/2019,7,8,0,152623.3,
ARGENTINA,2019,Sep,9/1/2019,7,12,0,271716.28,
ARGENTINA,2019,Oct,10/1/2019,11,16,0,378618.33,
ARGENTINA,2019,Nov,11/1/2019,4,14,0,300467.9,
ARGENTINA,2019,Dec,12/1/2019,4,18,0,422309.58,
ARGENTINA,2020,Jan,1/1/2020,5,14,1,2193604.96,
ARGENTINA,2020,Feb,2/1/2020,5,17,0,406715.56,
ARGENTINA,2020,Mar,3/1/2020,12,34,1,9688744.5,
ARGENTINA,2020,Apr,4/1/2020,20,48,0,1063625.06,
ARGENTINA,2020,May,5/1/2020,16,40,0,909514.25,
ARGENTINA,2020,Jun,6/1/2020,17,41,1,1676069.16,
ARGENTINA,2020,Jul,7/1/2020,11,18,1,4718135.55,
ARGENTINA,2020,Aug,8/1/2020,14,43,0,992573.52,
ARGENTINA,2020,Sep,9/1/2020,11,30,0,661262.12,
ARGENTINA,2020,Oct,10/1/2020,11,22,0,490976.03,
ARGENTINA,2020,Nov,11/1/2020,7,19,0,438430.37,
ARGENTINA,2020,Dec,12/1/2020,12,20,0,467772.99,
ARGENTINA,2021,Jan,1/1/2021,12,29,0,701487.27,
ARGENTINA,2021,Feb,2/1/2021,8,14,0,304993.4,
ARGENTINA,2021,Mar,3/1/2021,11,16,2,398453.97,
ARGENTINA,2021,Apr,4/1/2021,12,22,6,610557.84,
ARGENTINA,2021,May,5/1/2021,8,16,0,369606.94,
ARGENTINA,2021,Jun,6/1/2021,9,29,5,756208,
ARGENTINA,2021,Jul,7/1/2021,22,60,2,1469473.62,
ARGENTINA,2021,Aug,8/1/2021,9,74,0,1798003.76,
ARGENTINA,2021,Sep,9/1/2021,2,0,2,29795,
ARGENTINA,2021,Oct,10/1/2021,11,17,2,454929,
ARGENTINA,2021,Nov,11/1/2021,14,41,0,966323.34,
ARGENTINA,2021,Dec,12/1/2021,14,10,8,342274.59,
ARGENTINA,2022,Jan,1/1/2022,3,7,0,166978,
ARGENTINA,2022,Feb,2/1/2022,1,0,1,27500000,
ARGENTINA,2022,Mar,3/1/2022,9,25,4,641033,
ARGENTINA,2022,Apr,4/1/2022,7,9,3,221590.4,
ARGENTINA,2022,May,5/1/2022,5,7,0,159337.7,
ARGENTINA,2022,Jun,6/1/2022,15,21,4,27539677.58,
ARGENTINA,2022,Jul,7/1/2022,17,17,7,542071.28,
ARGENTINA,2022,Aug,8/1/2022,8,9,2,270533.81,
ARGENTINA,2022,Sep,9/1/2022,1,1,0,2940,
ARGENTINA,2022,Oct,10/1/2022,8,2,6,103469.2,
ARGENTINA,2022,Nov,11/1/2022,10,2,8,124535.66,
ARGENTINA,2018,Jan,1/1/2018,9,15,1,373055.71,
ARGENTINA,2018,Feb,2/1/2018,9,32,1,867731,
ARGENTINA,2018,Mar,3/1/2018,10,13,1,365178.41,
ARGENTINA,2018,Apr,4/1/2018,14,33,2,904595.34,
ARGENTINA,2018,May,5/1/2018,13,20,1,531064.54,
ARGENTINA,2018,Jun,6/1/2018,10,12,1,291748.89,
ARGENTINA,2018,Jul,7/1/2018,13,68,0,1603407.34,
ARGENTINA,2018,Aug,8/1/2018,15,78,1,1990815.24,
ARGENTINA,2018,Sep,9/1/2018,11,37,1,6061594.1,
ARGENTINA,2018,Oct,10/1/2018,6,7,1,7381200.79,
ARGENTINA,2018,Nov,11/1/2018,7,47,0,1142625.09,
ARGENTINA,2018,Dec,12/1/2018,9,35,0,687342.49,
ARGENTINA,2023,Feb,2/1/2023,4,8,0,193560,
ARUBA,2019,Aug,8/1/2019,1,1,0,12740,
ARUBA,2019,Sep,9/1/2019,1,1,0,1877,
ARUBA,2020,Jan,1/1/2020,1,1,0,12140,
ARUBA,2021,Feb,2/1/2021,1,1,0,3610,
ARUBA,2021,Jul,7/1/2021,3,0,3,7078651,
ARUBA,2021,Sep,9/1/2021,3,0,3,7561901,
ARUBA,2021,Nov,11/1/2021,1,1,0,6740,
ARUBA,2021,Dec,12/1/2021,4,2,2,4791997,
ARUBA,2022,Jan,1/1/2022,1,0,1,7812993,
ARUBA,2022,Feb,2/1/2022,3,0,3,7799344,
ARUBA,2022,Mar,3/1/2022,2,2,0,9900,
ARUBA,2022,May,5/1/2022,2,0,2,8469650,
ARUBA,2022,Jun,6/1/2022,4,1,3,7701240,
ARUBA,2022,Aug,8/1/2022,1,0,1,7055261,
ARUBA,2018,May,5/1/2018,1,1,0,13190,
ARUBA,2018,Sep,9/1/2018,1,1,0,10000,
ARUBA,2018,Nov,11/1/2018,1,1,0,6135.9,
ARUBA,2018,Dec,12/1/2018,1,1,0,11150,
AUSTRALIA,2019,Jan,1/1/2019,1,1,0,9410,
AUSTRALIA,2019,Feb,2/1/2019,1,1,0,4899,
AUSTRALIA,2019,Mar,3/1/2019,1,1,0,21037,
AUSTRALIA,2019,Apr,4/1/2019,2,1,1,6549,
AUSTRALIA,2019,Jun,6/1/2019,1,2,0,30630,
AUSTRALIA,2019,Jul,7/1/2019,1,1,0,20270,
AUSTRALIA,2019,Sep,9/1/2019,1,1,0,5676,
AUSTRALIA,2019,Oct,10/1/2019,2,3,0,55670,
AUSTRALIA,2020,Feb,2/1/2020,2,2,0,26070,
AUSTRALIA,2020,Oct,10/1/2020,1,1,0,4996,
AUSTRALIA,2021,May,5/1/2021,1,1,0,15680,
AUSTRALIA,2021,Jul,7/1/2021,1,1,0,4603,
AUSTRALIA,2022,Jan,1/1/2022,1,1,0,2750,
AUSTRALIA,2022,Feb,2/1/2022,1,1,0,4576,
AUSTRALIA,2018,Jan,1/1/2018,1,3,0,63787,
AUSTRALIA,2018,May,5/1/2018,4,5,0,55839,
AUSTRALIA,2018,Jun,6/1/2018,1,1,0,20270,
AUSTRALIA,2018,Aug,8/1/2018,1,1,0,21087,
AUSTRALIA,2018,Sep,9/1/2018,1,2,0,36952,
AUSTRALIA,2018,Nov,11/1/2018,3,3,0,49800,
AUSTRALIA,2018,Dec,12/1/2018,1,1,0,11760,
AUSTRIA,2019,Jan,1/1/2019,2,2,0,47253,
AUSTRIA,2019,May,5/1/2019,1,6,0,129600,
AUSTRIA,2019,Jun,6/1/2019,1,1,0,16877,
AUSTRIA,2019,Jul,7/1/2019,1,1,0,4260,
AUSTRIA,2019,Sep,9/1/2019,2,11,0,247119.18,
AUSTRIA,2019,Oct,10/1/2019,3,10,1,27137965.52,
AUSTRIA,2019,Nov,11/1/2019,1,1,0,22031,
AUSTRIA,2020,Feb,2/1/2020,1,1,0,4033.84,
AUSTRIA,2020,Mar,3/1/2020,1,1,0,23555,
AUSTRIA,2020,May,5/1/2020,1,3,0,65260,
AUSTRIA,2020,Jul,7/1/2020,2,5,0,114603.06,
AUSTRIA,2020,Sep,9/1/2020,1,2,0,40799,
AUSTRIA,2020,Oct,10/1/2020,1,0,1,30000,
AUSTRIA,2020,Dec,12/1/2020,1,0,1,30000000,
AUSTRIA,2018,Mar,3/1/2018,1,1,0,23177,
AUSTRIA,2018,Apr,4/1/2018,1,1,0,7921,
AUSTRIA,2018,Sep,9/1/2018,2,2,0,23077,
AUSTRIA,2018,Oct,10/1/2018,1,0,1,27500000,
AUSTRIA,2018,Nov,11/1/2018,2,4,0,18880,
AUSTRIA,2018,Dec,12/1/2018,1,0,1,27499390,
BAHAMAS,2019,Mar,3/1/2019,7,5,6,19898827,
BAHAMAS,2019,Apr,4/1/2019,10,3,7,27693334.2,
BAHAMAS,2019,Jun,6/1/2019,2,0,2,4657796,
BAHAMAS,2019,Jul,7/1/2019,7,5,6,7859343,
BAHAMAS,2019,Aug,8/1/2019,3,0,3,8456435,
BAHAMAS,2019,Sep,9/1/2019,3,0,3,3185790,
BAHAMAS,2019,Oct,10/1/2019,5,0,5,11577452,
BAHAMAS,2019,Nov,11/1/2019,2,1,1,1067085,
BAHAMAS,2020,Jan,1/1/2020,2,0,2,4383548,
BAHAMAS,2020,Feb,2/1/2020,1,0,1,1000363,
BAHAMAS,2020,Jul,7/1/2020,1,1,0,9470,
BAHAMAS,2020,Sep,9/1/2020,1,0,1,1400352,
BAHAMAS,2020,Nov,11/1/2020,16,0,16,22733231,
BAHAMAS,2021,Jan,1/1/2021,24,0,24,51735634,
BAHAMAS,2021,Feb,2/1/2021,18,0,18,34591033,
BAHAMAS,2021,Mar,3/1/2021,17,1,16,28620187,
BAHAMAS,2021,Apr,4/1/2021,24,0,24,52183829,
BAHAMAS,2021,May,5/1/2021,16,0,16,29464613,
BAHAMAS,2021,Jun,6/1/2021,16,0,16,29168161,
BAHAMAS,2021,Jul,7/1/2021,25,0,25,57304794,
BAHAMAS,2021,Aug,8/1/2021,31,0,31,74891278,
BAHAMAS,2021,Sep,9/1/2021,9,0,9,32374362,
