country,year,month,date,shipments,container_total,shipments_vrac,weight_total,
ARGENTINA,2020,Jan,1/1/2020,5,14,1,2193604.96,
ARUBA,2020,Jan,1/1/2020,1,1,0,12140,
BAHAMAS,2020,Jan,1/1/2020,2,0,2,4383548,
BELGIUM,2020,Jan,1/1/2020,16,33,1,464115.97,
BOLIVIA,2020,Jan,1/1/2020,1,2,0,34108.1,
BRAZIL,2020,Jan,1/1/2020,46,113,0,2895380.05,
CANADA,2020,Jan,1/1/2020,41,88,0,1454619.24,
CHILE,2020,Jan,1/1/2020,3,33,0,590614.93,
CHINA,2020,Jan,1/1/2020,353,719,2,12746472.42,
CHINA,2020,Jan,1/1/2020,2,5,0,128100.8,
COLOMBIA,2020,Jan,1/1/2020,39,419,1,23078057.89,
COSTA RICA,2020,Jan,1/1/2020,3,3,0,39479,
CROATIA,2020,Jan,1/1/2020,2,2,0,51140,
CUBA,2020,Jan,1/1/2020,1,1,0,12240,
DENMARK,2020,Jan,1/1/2020,3,4,0,100874.3,
DOMINICAN REPUBLIC,2020,Jan,1/1/2020,54,94,12,30500898.56,
ECUADOR,2020,Jan,1/1/2020,2,2,0,40332,
EGYPT,2020,Jan,1/1/2020,5,8,0,118235.74,
EL SALVADOR,2020,Jan,1/1/2020,2,2,0,9619.79,
ESTONIA,2020,Jan,1/1/2020,1,1,0,26000,
FRANCE,2020,Jan,1/1/2020,41,116,0,1747098.04,
FRENCH GUIANA,2020,Jan,1/1/2020,2,2,0,17210,
GERMANY,2020,Jan,1/1/2020,10,10,0,206788.5,
GREECE,2020,Jan,1/1/2020,1,1,0,1650,
GUATEMALA,2020,Jan,1/1/2020,17,81,2,1843510.5,
HONDURAS,2020,Jan,1/1/2020,19,110,1,2806798.73,
HUNGARY,2020,Jan,1/1/2020,2,2,0,48840,
INDIA,2020,Jan,1/1/2020,35,61,0,958295.31,
INDONESIA,2020,Jan,1/1/2020,12,202,0,4211827.9,
IRELAND,2020,Jan,1/1/2020,1,1,0,27532,
ITALY,2020,Jan,1/1/2020,14,29,0,450571.13,
JAMAICA,2020,Jan,1/1/2020,3,3,0,46572.38,
JAPAN,2020,Jan,1/1/2020,14,4,11,6456051.6,
LITHUANIA,2020,Jan,1/1/2020,1,1,0,25670,
LUXEMBOURG,2020,Jan,1/1/2020,1,1,0,4166,
MALAYSIA,2020,Jan,1/1/2020,4,5,0,54527.1,
MEXICO,2020,Jan,1/1/2020,22,175,0,4068505.89,
MOROCCO,2020,Jan,1/1/2020,1,1,0,11907.06,
NETHERLANDS,2020,Jan,1/1/2020,22,76,0,1310014.87,
NETHERLANDS ANTILLES,2020,Jan,1/1/2020,1.999999999,3.000000001,0,6200,
NICARAGUA,2020,Jan,1/1/2020,3,23,1,4940856.55,
NORWAY,2020,Jan,1/1/2020,2,3,0,83956.6,
PAKISTAN,2020,Jan,1/1/2020,1,31,0,808579.2,
PANAMA,2020,Jan,1/1/2020,30,55,1,819148.79,
PARAGUAY,2020,Jan,1/1/2020,1,1,0,29220,
PERU,2020,Jan,1/1/2020,17,168,0,3633030,
POLAND,2020,Jan,1/1/2020,10,17,0,437119.54,
PORTUGAL,2020,Jan,1/1/2020,1,1,0,27095,
PUERTO RICO,2020,Jan,1/1/2020,2,2,0,25944.9,
SINGAPORE,2020,Jan,1/1/2020,2,2,0,22334,
SOUTH KOREA,2020,Jan,1/1/2020,19,27,0,300445.84,
SPAIN,2020,Jan,1/1/2020,25,45,1,6050846.25,
SURINAME,2020,Jan,1/1/2020,1,1,0,9485,
SWITZERLAND,2020,Jan,1/1/2020,2,2,0,21456,
TAIWAN,2020,Jan,1/1/2020,11,106,0,2012767.27,
THAILAND,2020,Jan,1/1/2020,2,3,0,45654,
TRINIDAD AND TOBAGO,2020,Jan,1/1/2020,4,3,1,934267,
TUNISIA,2020,Jan,1/1/2020,1,0,1,27500000,
TURKEY,2020,Jan,1/1/2020,29,236,3,57982407.47,
UKRAINE,2020,Jan,1/1/2020,3,9,0,227672.4,
UNITED ARAB EMIRATES,2020,Jan,1/1/2020,2,6,0,139197.5,
UNITED KINGDOM,2020,Jan,1/1/2020,13,30,0,687180.57,
USA,2020,Jan,1/1/2020,569,1158,144,184060502.3,
VENEZUELA,2020,Jan,1/1/2020,1,1,0,4680,
VIETNAM,2020,Jan,1/1/2020,5,5,0,47341.85,
ARGENTINA,2020,Feb,2/1/2020,5,17,0,406715.56,
AUSTRALIA,2020,Feb,2/1/2020,2,2,0,26070,
AUSTRIA,2020,Feb,2/1/2020,1,1,0,4033.84,
BAHAMAS,2020,Feb,2/1/2020,1,0,1,1000363,
BELGIUM,2020,Feb,2/1/2020,32,116,0,2799167.58,
BRAZIL,2020,Feb,2/1/2020,54,157,2,12347311.25,
CANADA,2020,Feb,2/1/2020,47,85,0,1619599.99,
CHILE,2020,Feb,2/1/2020,4,28,0,552472.9,
CHINA,2020,Feb,2/1/2020,424,911,6,16845293.19,
COLOMBIA,2020,Feb,2/1/2020,55,322,3,49110637.63,
COSTA RICA,2020,Feb,2/1/2020,5,13,0,185374.68,
CUBA,2020,Feb,2/1/2020,1,0,1,41024,
DENMARK,2020,Feb,2/1/2020,1,1,0,14458.4,
DOMINICAN REPUBLIC,2020,Feb,2/1/2020,38,53,3,9478994.11,
ECUADOR,2020,Feb,2/1/2020,1,1,0,25154,
EGYPT,2020,Feb,2/1/2020,6,10,0,205591.34,
EL SALVADOR,2020,Feb,2/1/2020,5,112,0,2926480.46,
FRANCE,2020,Feb,2/1/2020,26,61,1,12928639.44,
GERMANY,2020,Feb,2/1/2020,11,25,0,502045.9,
GUATEMALA,2020,Feb,2/1/2020,20,137,2,3329329.55,
HONDURAS,2020,Feb,2/1/2020,36,218,0,5048104.24,
INDIA,2020,Feb,2/1/2020,62,168,2,3220048.4,
INDONESIA,2020,Feb,2/1/2020,23,158,2,9999346,
IRELAND,2020,Feb,2/1/2020,3,3,0,75276,
ITALY,2020,Feb,2/1/2020,7,16,0,190932.3,
JAMAICA,2020,Feb,2/1/2020,8,8,1,98564.09,
JAPAN,2020,Feb,2/1/2020,13,4,9,137776.3,
MALAYSIA,2020,Feb,2/1/2020,4,10,0,211563.2,
MEXICO,2020,Feb,2/1/2020,50,250,1,4764267.8,
NETHERLANDS,2020,Feb,2/1/2020,32,82,0,2030051.94,
NETHERLANDS ANTILLES,2020,Feb,2/1/2020,1,2,0,28590,
NICARAGUA,2020,Feb,2/1/2020,1,8,0,200840,
NORWAY,2020,Feb,2/1/2020,2,3,0,84216,
PAKISTAN,2020,Feb,2/1/2020,8,193,0,5035828.4,
PANAMA,2020,Feb,2/1/2020,36,44,0,717179.46,
PERU,2020,Feb,2/1/2020,19,245,0,5429873,
POLAND,2020,Feb,2/1/2020,8,13,0,337354,
PORTUGAL,2020,Feb,2/1/2020,2,1,1,27024015,
SOUTH KOREA,2020,Feb,2/1/2020,16,29,0,400793.06,
SPAIN,2020,Feb,2/1/2020,29,55,0,1098002.29,
SRI LANKA,2020,Feb,2/1/2020,1,2,0,55247.56,
SWEDEN,2020,Feb,2/1/2020,1,8,0,198106,
SWITZERLAND,2020,Feb,2/1/2020,1,1,0,7482,
TAIWAN,2020,Feb,2/1/2020,7,9,0,115286.24,
THAILAND,2020,Feb,2/1/2020,3,3,1,40655,
TRINIDAD AND TOBAGO,2020,Feb,2/1/2020,4,6,1,851718.8,
TURKEY,2020,Feb,2/1/2020,23,181,3,66045026.49,
UKRAINE,2020,Feb,2/1/2020,1,5,0,113003.4,
UNITED ARAB EMIRATES,2020,Feb,2/1/2020,1,1,0,7400,
UNITED KINGDOM,2020,Feb,2/1/2020,11,24,0,611050.8,
USA,2020,Feb,2/1/2020,717,1483,146,150276972.7,
VIETNAM,2020,Feb,2/1/2020,9,10,0,134462,
VIETNAM,2020,Feb,2/1/2020,2,5,0,128100.8,
ARGENTINA,2020,Mar,3/1/2020,12,34,1,9688744.5,
AUSTRIA,2020,Mar,3/1/2020,1,1,0,23555,
BANGLADESH,2020,Mar,3/1/2020,1,1,0,7117,
BARBADOS,2020,Mar,3/1/2020,1,1,0,11149.5,
BELGIUM,2020,Mar,3/1/2020,38,74,5,1858668.6,
BRAZIL,2020,Mar,3/1/2020,79,307,0,11173351.97,
CANADA,2020,Mar,3/1/2020,62,94,3,1718749.2,
CHILE,2020,Mar,3/1/2020,12,64,0,1243442.61,
CHINA,2020,Mar,3/1/2020,298,663,3,12483491.65,
COLOMBIA,2020,Mar,3/1/2020,60,483,3,40962255.71,
COSTA RICA,2020,Mar,3/1/2020,6,9,0,83915.4,
CROATIA,2020,Mar,3/1/2020,5,6,0,158951,
CUBA,2020,Mar,3/1/2020,2,2,0,23306.76,
DENMARK,2020,Mar,3/1/2020,10,10,0,188610.9,
DOMINICAN REPUBLIC,2020,Mar,3/1/2020,68,138,8,24070070.25,
ECUADOR,2020,Mar,3/1/2020,5,8,0,133718.38,
EGYPT,2020,Mar,3/1/2020,5,8,0,187571,
EL SALVADOR,2020,Mar,3/1/2020,3,28,0,727973.54,
ESTONIA,2020,Mar,3/1/2020,1,1,0,27040,
FRANCE,2020,Mar,3/1/2020,51,116,5,2329719.99,
GERMANY,2020,Mar,3/1/2020,11,19,0,426537,
GUATEMALA,2020,Mar,3/1/2020,33,121,5,7738740.13,
HONDURAS,2020,Mar,3/1/2020,33,237,0,5415205.11,
