country,year,month,date,shipments,container_total,shipments_vrac,weight_total
BELGIUM,2023,Jan,1/1/2023,9,39,0,774549.7
BRAZIL,2023,Jan,1/1/2023,63,81,0,2084899.29
CANADA,2023,Jan,1/1/2023,56,57,1,30744696
CHILE,2023,Jan,1/1/2023,8,9,0,152651.05
CHINA,2023,Jan,1/1/2023,338,567,2,10715812.22
COLOMBIA,2023,Jan,1/1/2023,69,482,3,13367603.57
COSTA RICA,2023,Jan,1/1/2023,9,48,0,764896.22
DOMINICAN REPUBLIC,2023,Jan,1/1/2023,40,42,9,41588904.95
ECUADOR,2023,Jan,1/1/2023,3,5,0,71768
EL SALVADOR,2023,Jan,1/1/2023,2,4,0,19181.11
FRANCE,2023,Jan,1/1/2023,52,61,0,1236089.2
GERMANY,2023,Jan,1/1/2023,7,12,0,275658
GUATEMALA,2023,Jan,1/1/2023,19,55,11,15841231.21
GUYANA,2023,Jan,1/1/2023,1,1,0,21150
HONDURAS,2023,Jan,1/1/2023,19,64,0,1457171.25
INDIA,2023,Jan,1/1/2023,37,102,1,2242145.33
INDONESIA,2023,Jan,1/1/2023,17,97,0,2425984.77
IRELAND,2023,Jan,1/1/2023,1,1,0,22536
ITALY,2023,Jan,1/1/2023,3,3,1,7168
IVORY COAST,2023,Jan,1/1/2023,1,1,0,16700
JAMAICA,2023,Jan,1/1/2023,58,2,56,316326
JAPAN,2023,Jan,1/1/2023,9,0,9,136570
MEXICO,2023,Jan,1/1/2023,15,44,0,725793.45
NETHERLANDS,2023,Jan,1/1/2023,33,51,0,1155032.91
NICARAGUA,2023,Jan,1/1/2023,12,10,11,7486084.78
PAKISTAN,2023,Jan,1/1/2023,13,0,13,27792910
PANAMA,2023,Jan,1/1/2023,28,26,2,574853.68
PERU,2023,Jan,1/1/2023,28,158,0,3379449.86
POLAND,2023,Jan,1/1/2023,6,6,0,169620
PUERTO RICO,2023,Jan,1/1/2023,2,2,0,9438.35
SENEGAL,2023,Jan,1/1/2023,2,4,0,111252
SINGAPORE,2023,Jan,1/1/2023,1,1,0,12110
SOUTH AFRICA,2023,Jan,1/1/2023,4,4,0,98672
SOUTH KOREA,2023,Jan,1/1/2023,19,15,7,376118.19
SPAIN,2023,Jan,1/1/2023,13,16,0,299869.95
TAIWAN,2023,Jan,1/1/2023,5,87,0,1717828.8
THAILAND,2023,Jan,1/1/2023,5,0,5,60621.16
TRINIDAD AND TOBAGO,2023,Jan,1/1/2023,3,4,0,76308
TURKEY,2023,Jan,1/1/2023,11,13,4,34964821.31
