consignee_final,count_or,descr_final,mmyyyy,shipments,container_total,shipments_vrac,weight_total,Sum of ctr_teu,descr_final_eng,hs_sub,hs_head,hs_chpt,biz_company,biz_town,biz_address,biz_phone1,biz_phone2,biz_email,biz_website,biz_cf_email,biz_cf_company,biz_cf_location,biz_cf_phone1,biz_cf_industry_role,biz_cf_other_role
FOOD FOR THE POOR,PANAMA,"FEUILLE, BANDE ET TOLE EN ACIER OU AUTRE MATIERE",2020-11,2,2,0,42911,4,"SHEET, STRIP AND SHEET OF STEEL OR OTHER MATERIAL",H5-722599,H5-7225,H5-72,Food for the Poor,Delmas,"Rue Barbancourt, Ruelle Jeudi, Route de l'Aeroport",50929441202,50929441201,contact@foodforthepoorhaiti.org,www.foodforthepoor.org,,,,,,
FOOD FOR THE POOR,BRAZIL,HARICOT,2020-11,2,4,0,90080,1,BEAN,H5-071390,H5-0713,H5-07,Food for the Poor,Delmas,"Rue Barbancourt, Ruelle Jeudi, Route de l'Aeroport",50929441202,50929441201,contact@foodforthepoorhaiti.org,www.foodforthepoor.org,,,,,,
FOOD FOR THE POOR,BRAZIL,MAIS,2020-11,1,2,0,47105,3,CORN,H5-100590,H5-1005,H5-10,Food for the Poor,Delmas,"Rue Barbancourt, Ruelle Jeudi, Route de l'Aeroport",50929441202,50929441201,contact@foodforthepoorhaiti.org,www.foodforthepoor.org,,,,,,
FOOD FOR THE POOR,CANADA,AIDES HUMANITAIRES DIVERSES,2020-11,2,2,0,32398,4,MISCELLANEOUS HUMANITARIAN AIDS,H5-999999,H5-9999,H5-99,Food for the Poor,Delmas,"Rue Barbancourt, Ruelle Jeudi, Route de l'Aeroport",50929441202,50929441201,contact@foodforthepoorhaiti.org,www.foodforthepoor.org,,,,,,
FOOD FOR THE POOR,CHINA,AIDES HUMANITAIRES DIVERSES,2020-11,1,1,0,3410,1,MISCELLANEOUS HUMANITARIAN AIDS,H5-999999,H5-9999,H5-99,Food for the Poor,Delmas,"Rue Barbancourt, Ruelle Jeudi, Route de l'Aeroport",50929441202,50929441201,contact@foodforthepoorhaiti.org,www.foodforthepoor.org,,,,,,
FOOD FOR THE POOR,CHINA,"BROUETTE, CHARRETTE A BRAS ET PARTIES",2020-11,1,1,0,8800,7,"WHEELBARROW, ARM CART AND PARTS",H5-871680,H5-8716,H5-87,Food for the Poor,Delmas,"Rue Barbancourt, Ruelle Jeudi, Route de l'Aeroport",50929441202,50929441201,contact@foodforthepoorhaiti.org,www.foodforthepoor.org,,,,,,
FOOD FOR THE POOR,JAMAICA,AIDES ALIMENTAIRES,2020-11,2,2,0,29745,2,FOOD AID,H5-210690,H5-2106,H5-21,Food for the Poor,Delmas,"Rue Barbancourt, Ruelle Jeudi, Route de l'Aeroport",50929441202,50929441201,contact@foodforthepoorhaiti.org,www.foodforthepoor.org,,,,,,
FOOD FOR THE POOR,JAMAICA,AIDES HUMANITAIRES DIVERSES,2020-11,4,5,0,41925,2,MISCELLANEOUS HUMANITARIAN AIDS,H5-999999,H5-9999,H5-99,Food for the Poor,Delmas,"Rue Barbancourt, Ruelle Jeudi, Route de l'Aeroport",50929441202,50929441201,contact@foodforthepoorhaiti.org,www.foodforthepoor.org,,,,,,
FOOD FOR THE POOR,JAMAICA,HARICOT,2020-11,1,2,0,47094,4,BEAN,H5-071390,H5-0713,H5-07,Food for the Poor,Delmas,"Rue Barbancourt, Ruelle Jeudi, Route de l'Aeroport",50929441202,50929441201,contact@foodforthepoorhaiti.org,www.foodforthepoor.org,,,,,,
FOOD FOR THE POOR,JAMAICA,RIZ,2020-11,1,1,0,24975,6,RICE,H5-100630,H5-1006,H5-10,Food for the Poor,Delmas,"Rue Barbancourt, Ruelle Jeudi, Route de l'Aeroport",50929441202,50929441201,contact@foodforthepoorhaiti.org,www.foodforthepoor.org,,,,,,
