consignee,town,address,phone,secondary_phone,email,website,cf_connect,,,
Food For The Poor,Delmas,"Rue Barbancourt, Ruelle Jeudi, Route de l'Aeroport",+509 29 44 1202,+509 29 44 1201,contact@foodforthepoorhaiti.org,www.foodforthepoor.org,0,,15,n/a
Chatelain Cargo Services S.A.,Tabarre,"42, Route de l'Aeroport, Maïs Gate",+509 22 50 1650,+509 37 01 8343,pvc@chatelaincargo.com,www.chatelaincargo.com,0,,15,n/a
Isha Foods Co,Port-au-Prince,"83, Rue Capois",+509 28 13 0410,+509 28 13 0411,sales@ishafoods.com,n/a,1,,15,n/a
The Willbes Haitian S.A.,Delmas,"Route de l'Aeroport, Parc Industriel Sonapi, Bldg. 42",+509 48 10 1627,n/a,hcyang@willbes.com,n/a,0,,3,n/a
Minaya Spices,Port-au-Prince,"Route Nationale # 1, en face de Shodecosa, Bldg. HASCO",+509 28 16 0990,+509 28 16 0991,marcel@minayaspice.com,n/a,1,,15,n/a
Carimpex,Delmas,"19, Delmas 1 A",+509 34 01 9589,+509 34 64 4835,shipping@carimpex-ht.com,n/a,0,,15,n/a
Union Express Cargo Services,Port-au-Prince,"2, Angle Rue Pavee et Ave Marie-Jeanne, Bicentenaire",+509 34 57 8687,+509 33 48 8687,u_e_c_s21@yahoo.fr,n/a,0,,15,n/a
Antonio Handal & Co,Port-au-Prince,272 Lalue,+509 28 16 1272,n/a,edc.admin@grupohandal.com,n/a,1,,3,n/a
Tasha Foods,Delmas,"Rue Xaragua, Delmas 31",+509 46 29 4153,n/a,n/a,n/a,0,,3,n/a
Pb Customs Services,Port-au-Prince,"5, Ave Marie-Jeanne, Bicentenaire",+509 37 76 2272,+509 34 83 0303,bpcustomservice@yahoo.fr,n/a,0,,15,n/a
Cuirs Hawtan S.A.,Carrefour,"1267, Route des Rails, Mariani",+509 34 61 4105,+509 44 43 9243,dangallagher@hawtanleathers.com,www.hawtanleathers.com,0,,15,n/a
Partners In Health / Zanmi Lasante,Petion-Ville,"11, Rue Oge, (Platinum Plaza)",+509 48 31 1609,n/a,seneq.pierre@pih.org,n/a,0,,3,n/a
Access Haiti,Port-de-Paix,"99, Rue Notre-Dame (local Universite Valparaiso)",+509 28 13 1234,n/a,n/a,www.accesshaiti.com,0,,3,n/a
Access Medical Supplies & Equipments,Petion-Ville,"393, Autoroute de Delmas, Delmas 89",+509 36 54 6991,n/a,accessmedicalsupplies@gmail.com,n/a,0,,3,n/a
Acierie D Haïti S.A. (A Gb Group Company),Port-au-Prince,"Route Nationale # 1, Chancerelles",+509 28 14 0000,n/a,salesadh@gbgroup.com,www.acieriedhaiti.com,0,,3,n/a
Ack Wholesale S.A.,Tabarre,"7, Rue Roumain, Rue E. Pierre, Blvd 15 Octobre",+509 29 42 6518,+509 29 42 6519,melissanoailles@yahoo.fr,n/a,0,,15,n/a
Acra Distribution,Tabarre,"2, Route Pompe, Tabarre 27",+509 34 57 2103,+509 28 10 2272,mgt@acradistribution.com,www.acradistribution.com,0,,15,n/a
Acra Entreprises,Delmas,"262, Autoroute de Delmas, Delmas 32, (Complexe Acra )",+509 40 36 7804,+509 42 04 4445,entreprisesacra22@hotmail.com,n/a,0,,15,n/a
Acra Petion-Ville,Petion-Ville,"133, Angle Rues Louverture et Geffrard",+509 28 13 0303,+509 28 11 6773,acrapetion_ville@yahoo.com,n/a,0,,15,n/a
Acra Tires,Port-au-Prince,Blvd La Saline,+509 22 27 2572,+509 28 17 2030,acratires@yahoo.fr,n/a,0,,15,n/a
Adeko Enterprises,Tabarre,"42, Route de l’Aeroport, Maïs-Gåte",+509 28 16 0880,+509 28 15 2815,info@adeko-ht.com,www.adeko-ht.com,0,,15,n/a
Agemar (Agences Maritimes Reunies S.A.),Port-au-Prince,"360, Blvd La Saline",+509 29 40 2193,+509 29 40 3450,agemar@agemar.com,n/a,1,,15,n/a
Les Agence Vallières,Delmas,"29, Rue Frères Simmonds, Cite Militaire",+509 28 13 0518,+509 29 41 0519,n/a,n/a,0,,15,n/a
