id,fax_id,date,container,shipper,consignee,port,country,country2,weight,commodity,com_qty,com_unit,ship,voyage,carrier,shipments,container_total,shipments_vrac,weight_total,lat,lon
0-1-431A NPARARTSON79PIE-1,0,43101,1,A NAIMOLI FREIGHT FORWARDING INC,PARTICULIER,PORT NEWARK ELIZABETH - NJ,USA,USA,15717.69,"ARTICLES, ACCESSOIRE DE MAISON",79,PIECES,HANSA FREYBURG,52BIS,SEABOARD MARINE,1,1,0,15717.69,40.68155,-74.1505
1-1-431AMEASSPRESES128CAR-1,1,43101,1,AMERICAN ROLAND FOOD CORP.,ASSOCIATED FOOD DISTRIBUTORS SA,PORT NEWARK ELIZABETH - NJ,USA,USA,11616.69,PREPARATIONS ALIMENTAIRES DIVERSES,1282,CARTON,HANSA FREYBURG,52BIS,SEABOARD MARINE,1,1,0,11616.69,40.68155,-74.1505
2-2-432ARJJEAARTSON100PIE-2,2,43101,2,ARJE LOGISTICS,JEAN CHEVALIER SANON,PORT NEWARK ELIZABETH - NJ,USA,USA,29162.84,"ARTICLES, ACCESSOIRE DE MAISON",100,PIECES,HANSA FREYBURG,52BIS,SEABOARD MARINE,0.5,1,0,14581.42,40.68155,-74.1505
2-2-432ARJJEAVOIION1UNI-1,2,43101,2,ARJE LOGISTICS,JEAN CHEVALIER SANON,PORT NEWARK ELIZABETH - NJ,USA,USA,29162.84,VOITURE D'OCCASION,1,UNITES,HANSA FREYBURG,52BIS,SEABOARD MARINE,0.5,1,0,14581.42,40.68155,-74.1505
3-7-437ARJPARARTSON700PIE-2,3,43101,7,ARJE LOGISTICS,PARTICULIER,PORT NEWARK ELIZABETH - NJ,USA,USA,126645.08,"ARTICLES, ACCESSOIRE DE MAISON",700,PIECES,HANSA FREYBURG,52BIS,SEABOARD MARINE,0.5,3.5,0,63322.54,40.68155,-74.1505
3-7-437ARJPARVOIION1UNI-1,3,43101,7,ARJE LOGISTICS,PARTICULIER,PORT NEWARK ELIZABETH - NJ,USA,USA,126645.08,VOITURE D'OCCASION,1,UNITES,HANSA FREYBURG,52BIS,SEABOARD MARINE,0.5,3.5,0,63322.54,40.68155,-74.1505
4-2-432ARJUNIARTSON100PIE-2,4,43101,2,ARJE LOGISTICS,UNION EXPRESS CARGO SERVICES,PORT NEWARK ELIZABETH - NJ,USA,USA,32162.04,"ARTICLES, ACCESSOIRE DE MAISON",100,PIECES,HANSA FREYBURG,52BIS,SEABOARD MARINE,0.5,1,0,16081.02,40.68155,-74.1505
4-2-432ARJUNIVOIION1UNI-1,4,43101,2,ARJE LOGISTICS,UNION EXPRESS CARGO SERVICES,PORT NEWARK ELIZABETH - NJ,USA,USA,32162.04,VOITURE D'OCCASION,1,UNITES,HANSA FREYBURG,52BIS,SEABOARD MARINE,0.5,1,0,16081.02,40.68155,-74.1505
5-16-4316AROPARARTSON662PIE-3,5,43101,16,AROMARK SHIPPING LLC,PARTICULIER,PORT NEWARK ELIZABETH - NJ,USA,USA,83380.6,"ARTICLES, ACCESSOIRE DE MAISON",662,PIECES,HANSA FREYBURG,52BIS,SEABOARD MARINE,0.333333333,5.333333333,0,27793.53333,40.68155,-74.1505
5-16-4316AROPARBUSION3UNI-2,5,43101,16,AROMARK SHIPPING LLC,PARTICULIER,PORT NEWARK ELIZABETH - NJ,USA,USA,83380.6,BUS D'OCCASION,3,UNITES,HANSA FREYBURG,52BIS,SEABOARD MARINE,0.333333333,5.333333333,0,27793.53333,40.68155,-74.1505
