id,fax_id,date,container,shipper,consignee,port,country2,weight,commodity,com_qty,com_unit,ship,voyage,carrier,shipments,container_total,shipments_vrac,weight_total,lat,lon
0-1-431A NPARARTSON79PIE-1,0,1/1/2018,1,A NAIMOLI FREIGHT FORWARDING INC,PARTICULIER,PORT NEWARK ELIZABETH - NJ,USA,15717.69,"ARTICLES, ACCESSOIRE DE MAISON",79,PIECES,HANSA FREYBURG,52BIS,SEABOARD MARINE,1,1,0,15717.69,40.68155,-74.1505
80-2-432AGSDELVOIION1UNI-1,80,1/2/2018,2,AGS FRASERS TCHAD,DELEGATION DE L'UNION EUROPEENNE EN HAITI,DOUALA,CAMEROON,14900,VOITURE D'OCCASION,1,UNITES,NADJA,170R,CMA/CGM,0.5,1,0,7450,4.050278,9.7
170-2-432HELFOOAIDSES538CAR-1,170,1/3/2018,2,HELENG INTERNATIONAL CO LTD,FOOD FOR THE POOR,NINGBO,CHINA,3765,AIDES HUMANITAIRES DIVERSES,538,CARTON,TRINIDAD TRADER,100E,COSCO SHIPPING,1,2,0,3765,29.878185,121.54945
256-1-431QINLH OIGONS140SAC-1,256,1/3/2018,1,QINGDAO CINTECH INDUSTRIAL,LH COSMETIQUE,QINGDAO,CHINA,28000,OIGNONS,1400,"SACS, SACHETS",TRINIDAD TRADER,100E,ZIM LINES,1,1,0,28000,36.09861,120.37194
349-1-431JIATECGOMNES20SAC-1,349,1/5/2018,1,JIANGYIN XINGYU NEW MATERIAL CO,TECHNOPLAS SA,SHANGHAI,CHINA,22200,"GOMME LAQUE; GOMMES, RESINES",20,"SACS, SACHETS",HAMMONIA PALATIUM,752A,MEDITERRANEAN SHIPPING CO,1,1,0,22200,31.045555,121.39972
441-1-431CHOLOGMOTTES96CAR-1,441,1/7/2018,1,CHONGQING ASTRONAUTIC BASHAN MOTOCYCLE MFRG CO LTD,LOGICAL INDUSTRIES,SHANGHAI,CHINA,12930,MOTOCYCLETTES,96,CARTON,ASTURIANO,030N,EVERGREEN,1,1,0,12930,31.045555,121.39972
523-2-432CATDINMATEAU28CAR-1,523,1/7/2018,2,CATALANA DE PERFORACIONS SA,DINEPA,BARCELONA,SPAIN,30310,"MATERIEL POUR ASSAINISSEMENT, IRRIGATION, CANALISATION D'EAU",28,CARTON,NADJA,171R,CMA/CGM,1,2,0,30310,41.398373,2.1741
614-4-434GERHAIVIAFRI614CAI-1,614,1/9/2018,4,GERBER AGRI INTERNATIONAL LLC,HAITI FOOD SUPPLY SA,PORT EVERGLADES - FL,USA,79101.74,"VIANDES ET ABATS DE VOLAILLES (POULES, COQS DINDES) REFRI",6142,CAISSES,DELPHINUS,09S,KING OCEAN SERVICES,1,4,0,79101.74,26.096666,-80.1275
701-0-430FREPETMAZOUT429GAL-1,701,1/9/2018,0,FREEPOINT COMMODITIES LLC,PETROGAZ-HAITI SA,FREEPORT,BAHAMAS,0,MAZOUT,429,GALLONS,GEORGINA PG,V.94,PDVSA RVAM,1,0,1,0,26.533333,-78.7
781-2-432ONEHAIPARURE184PAQ-1,781,1/10/2018,2,ONELYE HK GROUP LIMITED,HAITI BROILER SA,SHANGHAI,CHINA,10200,PARTIES ET ACESSOIRES DE TOITURE,1844,"PAQUET, COLIS",VEGA ZETA,752E,COSCO SHIPPING,1,2,0,10200,31.045555,121.39972
875-5-435PARPAREFFELS3LOT-4,875,1/12/2018,5,PARTICULIER,PARTICULIER,MIAMI - FL,USA,44305,EFFETS PERSONNELS,3,LOTS,TANGO III,122S,ANTILLEAN MARINE SHIPPING  CORP,0.25,1.25,0,11076.25,25.77389,-80.193886
964-42-4342TERCRISUCRES420SAC-1,964,1/13/2018,42,TERMINAL DE CONTENEDORES DE BUENAVENTURA,CRISTO SA,BUENAVENTURA,COLOMBIA,1054200,SUCRES,42000,"SACS, SACHETS",ASTURIANO,031N,SEALAND,1,42,0,1054200,3.880099,-77.031166
1038-1-431JIAUNIMOTTES60CAR-1,1038,1/14/2018,1,JIANGMEN DACHANGJIANG GROUP CO LTD,UNIVERSAL MOTORS SA,CAUCEDO,DOMINICAN REPUBLIC,14170,MOTOCYCLETTES,60,CARTON,JACOB,801A,MEDITERRANEAN SHIPPING CO,1,1,0,14170,18.416667,-69.633333
1128-8-438AROPARARTSON155PIE-3,1128,1/15/2018,8,AROMARK SHIPPING LLC,PARTICULIER,PORT NEWARK ELIZABETH - NJ,USA,19458.58,"ARTICLES, ACCESSOIRE DE MAISON",155,PIECES,HANSA FREYBURG,53BIS,SEABOARD MARINE,0.333333333,2.666666667,0,6486.193333,40.68155,-74.1505
1215-0-430JAPPARBUSION6UNI-1,1215,1/17/2018,0,JAPAN CAR AND BOAT CO LTD,PARTICULIER,TOKYO,JAPAN,11530,BUS D'OCCASION,6,UNITES,VIKING PRINCESS,V.102,PDVSA RVAM,1,0,1,11530,35.616454,139.795652
1311-4-434TGDHAIMATIES122CAR-1,1311,1/18/2018,4,TGD CONSOLIDATIONS ITALIA SRL,HAITI HYDRAULIQUE ORGANISATION,GENOA,ITALY,40980,MATERIELS HYDRAULIQUES ET PARTIES,1227,CARTON,FALMOUTH,43E,ZIM LINES,1,4,0,40980,44.416668,8.95
1404-1-431EASSOLEMUIRE610SAC-1,1404,1/20/2018,1,EASTERN PETROLEUM PRIVATE LIMITED,SOLEMIR,NHAVA SHEVA,INDIA,15440,EMULSIFIANT AGRO-ALIMENTAIRE,610,"SACS, SACHETS",JPO AQUARIUS,802A,MEDITERRANEAN SHIPPING CO,1,1,0,15440,18.975,72.825836
