id,fax_id,date,date2,container,shipper,consignee,port,country,weight,commodity,com_qty,com_unit,ship,voyage,carrier,shipments,container_total,shipments_vrac,weight_total,lat,lon
0-1-431A NPARARTSON79PIE-1,0,1/1/2018,1/1/2018,1,A NAIMOLI FREIGHT FORWARDING INC,PARTICULIER,PORT NEWARK ELIZABETH - NJ,USA,15718,"ARTICLES, ACCESSOIRE DE MAISON",79,PIECES,HANSA FREYBURG,52BIS,SEABOARD MARINE,1,1,0,15718,40.68155,-74.1505
5-16-4316AROPARVOIION14UNI-1,5,1/1/2018,1/1/2018,16,AROMARK SHIPPING LLC,PARTICULIER,PORT NEWARK ELIZABETH - NJ,USA,83381,VOITURE D'OCCASION,14,UNITES,HANSA FREYBURG,52BIS,SEABOARD MARINE,0,5,0,27794,40.68155,-74.1505
13-1-431NEOH4HTISILE755CAR-1,13,1/1/2018,1/1/2018,1,NEO LOGISTICS SA,H4H SA,PUERTO MOIN,Costa Rica,17386,TISSUS ET ETOFFES POUR INDUSTRIE TEXTILE,755,CARTON,HANSA FREYBURG,52BIS,SEABOARD MARINE,1,1,0,17386,9.99074,-83.03596
23-0-430VITKIMGASOIL588GAL-1,23,1/1/2018,1/1/2018,0,VITOL INC,KIMAZOU ENERGIE SA,HOUSTON - TX,USA,1904549,GAS-OIL,588000,GALLONS,NAVE ATRIA,V.04-17,PDVSA RVAM,1,0,1,1904549,29.763056,-95.36305
31-4-434ANTANTMATRES19PAL-1,31,1/1/2018,1/1/2018,4,ANTILLEAN LOGISTICS CENTER INC,ANTOINE KAWAS,MIAMI - FL,USA,100440,MATERIELS ELECTRIQUES ET ACCESSOIRE,19,PALETTES,TANGO III,120S,ANTILLEAN MARINE SHIPPING  CORP,0,1,0,25110,25.77389,-80.193886
39-2-432DADECCGELLLE1SKI-1,39,1/1/2018,1/1/2018,2,DADE SKY TRADING COMPANY INC,ECCOMAR,MIAMI - FL,USA,2320,"GELATINES ET LEURS DERIVES,ICHTIOCOLLE,AUTRE COLLE",1,"SKID, CALE, TRAINEAU",TANGO III,120S,ANTILLEAN MARINE SHIPPING  CORP,1,1,0,1160,25.77389,-80.193886
49-1-431HEMLEAACCLE)7SKI-1,49,1/1/2018,1/1/2018,1,HEMISPHERE BUTTON ACCESORIES,LEATHERCRAFT,MIAMI - FL,USA,2868,ACCESSOIRE POUR 807 PLANT (INDUSTRIE TEXTILE),7,"SKID, CALE, TRAINEAU",TANGO III,120S,ANTILLEAN MARINE SHIPPING  CORP,1,1,0,2868,25.77389,-80.193886
57-9-439KINSYNJUSMES155CAI-1,57,1/1/2018,1/1/2018,9,KING DOT EXPORT LLC,SYNOR IMPORT EXPORT,MIAMI - FL,USA,148950,JUS DE FRUITS ET DE LEGUMES,1550,CAISSES,TANGO III,120S,ANTILLEAN MARINE SHIPPING  CORP,0,3,0,49650,25.77389,-80.193886
65-2-432PANSOLPREUES5PAL-1,65,1/1/2018,1/1/2018,2,PAN AMERICAIN FRAGRANCES INC,SOLEMIR,MIAMI - FL,USA,2842,PREPARATIONS CHIMIQUES,5,PALETTES,TANGO III,120S,ANTILLEAN MARINE SHIPPING  CORP,1,1,0,1421,25.77389,-80.193886
71-1-431TEMTOTEQUICE24PIE-1,71,1/1/2018,1/1/2018,1,TEMCO INTERNATIONAL CORP,TOTAL HAITI SA,MIAMI - FL,USA,2894,EQUIPEMENT POUR STATION SERVICE,24,PIECES,TANGO III,120S,ANTILLEAN MARINE SHIPPING  CORP,1,1,0,2894,25.77389,-80.193886
80-2-432AGSDELVOIION1UNI-1,80,1/2/2018,1/1/2018,2,AGS FRASERS TCHAD,DELEGATION DE L'UNION EUROPEENNE EN HAITI,DOUALA,Cameroon,14900,VOITURE D'OCCASION,1,UNITES,NADJA,170R,CMA/CGM,1,1,0,7450,4.050278,9.7
89-1-431CH VALBATIES382PIE-1,89,1/2/2018,1/1/2018,1,CH ROBINSON TROJAN BATTERY INC,VALERIO CANEZ SA,SACRAMENTO - CA,USA,14480,BATTERIES,382,PIECES,NADJA,170R,CMA/CGM,1,1,0,14480,38.575764,-121.478851
99-4-434FLEUNIMATQUE80PAL-1,99,1/2/2018,1/1/2018,4,FLEUR DE LIS WORLDWIDE LLC,UNITED PLASTICS,NEW ORLEANS - LA,USA,100156,MATIERE PREMIERE POUR INDUSTRIE PLASTIQUE,80,PALETTES,NADJA,170R,CMA/CGM,1,4,0,100156,29.912724,-90.114874
108-1-431IFBCAREFFELS1LOT-1,108,1/2/2018,1/1/2018,1,IFB INTERNATIONAL FREIGHT BRIDGE,CARIMPEX,LE HAVRE,France,13930,EFFETS PERSONNELS,1,LOTS,NADJA,170R,CMA/CGM,1,1,0,13930,49.5,0.133333
118-1-431K.GORICETVES80DRU-1,118,1/2/2018,1/1/2018,1,K.G. INTERNATIONAL INC,ORIENTAL COSMETICS SA,BUSAN,South Korea,14857,"CETONE,QUINONES ET LEURS DERIVES",80,DRUMS,NADJA,170R,CMA/CGM,1,1,0,14857,35.10278,129.04028
