index,cnt_size_final,cnt_type,cnt_teu,consolidated,short_shipped,shipper,consignee,notify,number_of_packages,package_type,descr,new_descr,port_origin,port_tss,port_dest,count_origin,count_tss,count_dest,r1_origin,r1_tss,r1_dest,r2_origin,r2_tss,r2_dest,loc_code,date_of_arrival,voyage,vessel,carrier,mode,id,shipments,container_total,shipments_vrac,weight_total,date2,country,TEU,transcountry,CTN,bol_ref
20129,20GP,DRY,1,,,NORTHERN SUNSHINE FARMS ,HUILERIES HAITIENNES SA ,SAME AS ABOVE ,4000, SACHET,1000 X 50LB BAGS PINTO BEANS SLOW DARKENING 1000 X 50LB BAGS PINTO BEANS SLOW DARKENING 1000 X 50LB BAGS PINTO BEANS SLOW DARKENING 0.00 SMLU3122463 SMLU3108629 SMLU3117560 SMLU3146995,HARICOT,MIAMI - FL,MIAMI - FL,PORT-AU-PRINCE,USA,USA,HAITI,NORTH AMERICA,NORTH AMERICA,CARIBBEAN,NA_SOUTH ATLANTIC,NA_SOUTH ATLANTIC,CARIBBEAN,1020,44136,392S,SEABOARD RANGER,SEABOARD MARINE,SEA,SBD_11-01-2020_SYD-20-1-SMLU3108629,1,1,0,90720,44136,USA,1,USA,SMLU3108629,6311972A
20119,20GP,DRY,1,,,NORTHERN SUNSHINE FARMS ,HUILERIES HAITIENNES SA ,SAME AS ABOVE ,,,2000 X 25LB BAGS PINTO BEANS SLOW DARKENING 2000 X 25LB BAGS PINTO BEANS SLOW DARKENING 2000 X 25LB BAGS PINTO BEANS SLOW DARKENING 0.00 SMLU2569483 SMLU3149546 SMLU3135814 SMLU3129848,HARICOT,MIAMI - FL,MIAMI - FL,PORT-AU-PRINCE,USA,USA,HAITI,NORTH AMERICA,NORTH AMERICA,CARIBBEAN,NA_SOUTH ATLANTIC,NA_SOUTH ATLANTIC,CARIBBEAN,1020,44136,392S,SEABOARD RANGER,SEABOARD MARINE,SEA,SBD_11-01-2020_SYD-38-1-SMLU3129848,1,1,0,0,44136,USA,0,USA,SMLU3129848,6321439A
20109,40GP,DRY,2,,,CHEVRON LUBRICANT OILS SA ,MIMA SA ,MIMA SA ,89, PIECE,21 PCS CONTENIENDO.ACEITES Y GRASAS LUBRICANTES  24 PCS CONTENIENDO ACEITES Y GRASAS LUBRICANTES 2 PCS CONTAINING 0.00 SMLU7847632 FCIU9068594 SEGU4937082 CXDU2065969,"HUILES LUBRIFIANTES, DE PETROLE POUR MOTEUR",SANTO THOMAS,MIAMI - FL,PORT-AU-PRINCE,GUATEMALA,USA,HAITI,CENTRAL AMERICA,NORTH AMERICA,CARIBBEAN,CENTRAL AMERICA,NA_SOUTH ATLANTIC,CARIBBEAN,1020,44136,392S,SEABOARD RANGER,SEABOARD MARINE,SEA,SBD_11-01-2020_SYD-47-1-CXDU2065969,1,1,0,78925,44136,Guatemala,2,USA,CXDU2065969,6328842A
20099,40GP,DRY,2,,,EMEX INC ,RG PURCHASING ,RG PURCHASING ,,,567 FREIGHT OF ALL KINDS CERAMIC TILES - INK CARTRIDGES - LED TV. 594 PCS FREIGHT OF ALL KINDS HOME DECORATIONS - TOILET SEATS -HOME 0.00 SMLU7834044 BSIU9449664 MAGU5277327,MARCHANDISE GENERALE,MIAMI - FL,MIAMI - FL,PORT-AU-PRINCE,USA,USA,HAITI,NORTH AMERICA,NORTH AMERICA,CARIBBEAN,NA_SOUTH ATLANTIC,NA_SOUTH ATLANTIC,CARIBBEAN,1020,44136,392S,SEABOARD RANGER,SEABOARD MARINE,SEA,SBD_11-01-2020_SYD-91-1-MAGU5277327,1,1,0,0,44136,USA,0,USA,MAGU5277327,6341722A
20089,20GP,DRY,1,,,GLORIA SA ,CRISTO SA ,CRISTO SA ,22340, CARTON,"BOXES BONGU EVAPORATED MILK TOTAL: 22340 BOXES / 216,590.00 KGS 0.00 SMLU2566801 SMLU3105682 SMLU3147374 SMLU3104705 SMLU3107387 SMLU3130880 SMLU3135500 SMLU2575790",LAIT CONCENTRE NON SUCRE,CALLAO,MIAMI - FL,PORT-AU-PRINCE,PERU,USA,HAITI,SOUTH AMERICA,NORTH AMERICA,CARIBBEAN,SOUTH AMERICA,NA_SOUTH ATLANTIC,CARIBBEAN,1020,44136,392S,SEABOARD RANGER,SEABOARD MARINE,SEA,SBD_11-01-2020_SYD-22-1-SMLU2555005,1,1,0,216590,44136,Peru,1,USA,SMLU2555005,6316438A
20079,20GP,DRY,1,,,GLORIA SA ,CRISTO SA ,CRISTO SA ,11170, CARTON,"BOXES BONLE EVAPORATED MILK TOTAL: 11170 BOXES / 108,305.00 KGS 0.00 SMLU3119222 BHCU3121355 SMLU3107710 SMLU3119264 SMLU2569610",LAIT CONCENTRE NON SUCRE,CALLAO,MIAMI - FL,PORT-AU-PRINCE,PERU,USA,HAITI,SOUTH AMERICA,NORTH AMERICA,CARIBBEAN,SOUTH AMERICA,NA_SOUTH ATLANTIC,CARIBBEAN,1020,44136,392S,SEABOARD RANGER,SEABOARD MARINE,SEA,SBD_11-01-2020_SYD-32-1-BHCU3121355,1,1,0,108305,44136,Peru,1,USA,BHCU3121355,6320463A
20069,20GP,DRY,1,,,GLORIA SA ,CRISTO SA ,CRISTO SA ,,,"BOXES BONLE EVAPORATED MILK TOTAL: 22340 BOXES / 216,920.00 KGS 0.00 SMLU3112465 SEGU1425061 SMLU3114241 SMLU2575819 SMLU3123752 SMLU3128158 SMLU3118139 SMLU3103376",LAIT CONCENTRE NON SUCRE,CALLAO,MIAMI - FL,PORT-AU-PRINCE,PERU,USA,HAITI,SOUTH AMERICA,NORTH AMERICA,CARIBBEAN,SOUTH AMERICA,NA_SOUTH ATLANTIC,CARIBBEAN,1020,44136,392S,SEABOARD RANGER,SEABOARD MARINE,SEA,SBD_11-01-2020_SYD-31-1-SMLU3114241,1,1,0,0,44136,Peru,0,USA,SMLU3114241,6320456A
20059,40GP,DRY,2,,,ALICORP S A A ,CRISTO SA ,CRISTO SA ,28120, CARTON,CAJAS CON GALLETAS TOTAL: 28120 CAJAS 0.00 SMLU7960865 SMLU7929900 SMLU7895306 TCNU6679830 TCNU6446398,BISCUITS,CALLAO,MIAMI - FL,PORT-AU-PRINCE,PERU,USA,HAITI,SOUTH AMERICA,NORTH AMERICA,CARIBBEAN,SOUTH AMERICA,NA_SOUTH ATLANTIC,CARIBBEAN,1020,44136,392S,SEABOARD RANGER,SEABOARD MARINE,SEA,SBD_11-01-2020_SYD-43-1-SMLU7895306,1,1,0,77160,44136,Peru,2,USA,SMLU7895306,6325779A
20049,40GP,DRY,2,,,UNIVAR SOLUTIONS ,UB FRAGRANCES SA ,SAME AS ABOVE ,120, FUTS,DRUMS ETHANOL SDA 40B 190PF 0.00 SMLU7867710,ALCOOLS ACYCLIQUES ET LEURS DERIVES,MIAMI - FL,MIAMI - FL,PORT-AU-PRINCE,USA,USA,HAITI,NORTH AMERICA,NORTH AMERICA,CARIBBEAN,NA_SOUTH ATLANTIC,NA_SOUTH ATLANTIC,CARIBBEAN,1020,44136,392S,SEABOARD RANGER,SEABOARD MARINE,SEA,SBD_11-01-2020_SYD-89-1-SMLU7867710,1,1,0,21952,44136,USA,2,USA,SMLU7867710,6341272A
20039,40GP,DRY,2,,,ALLIANCE INTERNATIONAL SHIPPING LLC ,AUBOURG JEAN MAKENDY ,SAME AS ABOVE ,1, SACHET,LOT OF PERSONAL EFFECTS 0.00 DRYU989022,EFFETS PERSONNELS,MIAMI - FL,MIAMI - FL,PORT-AU-PRINCE,USA,USA,HAITI,NORTH AMERICA,NORTH AMERICA,CARIBBEAN,NA_SOUTH ATLANTIC,NA_SOUTH ATLANTIC,CARIBBEAN,1020,44136,392S,SEABOARD RANGER,SEABOARD MARINE,SEA,SBD_11-01-2020_SYD-88-1-DRYU9890227,1,1,0,18144,44136,USA,2,USA,DRYU9890227,6340929A
