country,year,month,date,shipments,container_total,shipments_vrac,weight_total
GUATEMALA,2019,Jan,1/1/2019,25,232,3,232
GUATEMALA,2019,Feb,2/1/2019,24,140,4,140
GUATEMALA,2019,Mar,3/1/2019,15,108,1,108
GUATEMALA,2019,Apr,4/1/2019,22,61,1,61
GUATEMALA,2019,May,5/1/2019,19,79,3,79
GUATEMALA,2019,Jun,6/1/2019,30,60,9,60
GUATEMALA,2019,Jul,7/1/2019,32,109,11,109
GUATEMALA,2019,Aug,8/1/2019,22,79,6,79
GUATEMALA,2019,Sep,9/1/2019,31,78,7,78
GUATEMALA,2019,Oct,10/1/2019,18,100,4,100
GUATEMALA,2019,Nov,11/1/2019,16,119,2,119
GUATEMALA,2019,Dec,12/1/2019,12,60,1,60
GUATEMALA,2020,Jan,1/1/2020,17,81,2,81
GUATEMALA,2020,Feb,2/1/2020,20,137,2,137
GUATEMALA,2020,Mar,3/1/2020,33,121,5,121
GUATEMALA,2020,Apr,4/1/2020,14,55,1,55
GUATEMALA,2020,May,5/1/2020,14,56,0,56
GUATEMALA,2020,Jun,6/1/2020,16,62,4,62
GUATEMALA,2020,Jul,7/1/2020,16,28,1,28
GUATEMALA,2020,Aug,8/1/2020,22,67,6,67
GUATEMALA,2020,Sep,9/1/2020,22,73,2,73
GUATEMALA,2020,Oct,10/1/2020,23,23,4,23
GUATEMALA,2020,Nov,11/1/2020,19,40,0,40
GUATEMALA,2020,Dec,12/1/2020,7,7,0,7
GUATEMALA,2021,Jan,1/1/2021,8,9,0,9
GUATEMALA,2021,Feb,2/1/2021,30,141,4,141
GUATEMALA,2021,Mar,3/1/2021,30,118,7,118
GUATEMALA,2021,Apr,4/1/2021,21,57,5,57
GUATEMALA,2021,May,5/1/2021,28,169,1,169
GUATEMALA,2021,Jun,6/1/2021,20,95,3,95
GUATEMALA,2021,Jul,7/1/2021,45,126,19,126
GUATEMALA,2021,Aug,8/1/2021,17,38,0,38
GUATEMALA,2021,Sep,9/1/2021,25,68,4,68
GUATEMALA,2021,Oct,10/1/2021,20,41,0,41
GUATEMALA,2021,Nov,11/1/2021,24,89,0,89
GUATEMALA,2021,Dec,12/1/2021,25,40,4,40
GUATEMALA,2022,Jan,1/1/2022,36,155,8,155
GUATEMALA,2018,Jan,1/1/2018,12,37,1,37
GUATEMALA,2018,Feb,2/1/2018,24,109,0,109
GUATEMALA,2018,Mar,3/1/2018,23,169,5,169
GUATEMALA,2018,Apr,4/1/2018,20,108,0,108
GUATEMALA,2018,May,5/1/2018,19,125,0,125
GUATEMALA,2018,Jun,6/1/2018,27,147,6,147
GUATEMALA,2018,Jul,7/1/2018,29,173,2,173
GUATEMALA,2018,Aug,8/1/2018,28,112,1,112
GUATEMALA,2018,Sep,9/1/2018,18,139,0,139
GUATEMALA,2018,Oct,10/1/2018,25,96,8,96
GUATEMALA,2018,Nov,11/1/2018,22,48,2,48
GUATEMALA,2018,Dec,12/1/2018,21,147,2,147
MEXICO,2019,Jan,1/1/2019,32,70,3,70
MEXICO,2019,Feb,2/1/2019,34,72,1,72
MEXICO,2019,Mar,3/1/2019,24,50,2,50
MEXICO,2019,Apr,4/1/2019,47,133,2,133
MEXICO,2019,May,5/1/2019,50,137,3,137
MEXICO,2019,Jun,6/1/2019,62,171,1,171
MEXICO,2019,Jul,7/1/2019,44,235,2,235
MEXICO,2019,Aug,8/1/2019,53,119,2,119
MEXICO,2019,Sep,9/1/2019,51,159,2,159
MEXICO,2019,Oct,10/1/2019,53,260,2,260
MEXICO,2019,Nov,11/1/2019,28,37,1,37
MEXICO,2019,Dec,12/1/2019,29,78,4,78
MEXICO,2020,Jan,1/1/2020,22,175,0,175
MEXICO,2020,Feb,2/1/2020,50,250,1,250
MEXICO,2020,Mar,3/1/2020,65,228,2,228
MEXICO,2020,Apr,4/1/2020,50,228,0,228
MEXICO,2020,May,5/1/2020,39,184,1,184
MEXICO,2020,Jun,6/1/2020,62,233,0,233
MEXICO,2020,Jul,7/1/2020,36,128,0,128
MEXICO,2020,Aug,8/1/2020,43,103,4,103
MEXICO,2020,Sep,9/1/2020,39,93,0,93
MEXICO,2020,Oct,10/1/2020,41,83,2,83
MEXICO,2020,Nov,11/1/2020,43,145,0,145
MEXICO,2020,Dec,12/1/2020,74,199,5,199
MEXICO,2021,Jan,1/1/2021,73,274,9,274
MEXICO,2021,Feb,2/1/2021,31,94,0,94
MEXICO,2021,Mar,3/1/2021,65,192,0,192
MEXICO,2021,Apr,4/1/2021,50,240,0,240
MEXICO,2021,May,5/1/2021,48,195,1,195
MEXICO,2021,Jun,6/1/2021,42,90,4,90
MEXICO,2021,Jul,7/1/2021,39,80,1,80
MEXICO,2021,Aug,8/1/2021,26,42,1,42
MEXICO,2021,Sep,9/1/2021,51,94,3,94
MEXICO,2021,Oct,10/1/2021,45,87,2,87
MEXICO,2021,Nov,11/1/2021,40,98,0,98
MEXICO,2021,Dec,12/1/2021,29,89,0,89
MEXICO,2022,Jan,1/1/2022,37,84,3,84
MEXICO,2018,Jan,1/1/2018,43,65,1,65
MEXICO,2018,Feb,2/1/2018,38,108,2,108
MEXICO,2018,Mar,3/1/2018,38,123,1,123
MEXICO,2018,Apr,4/1/2018,37,84,6,84
MEXICO,2018,May,5/1/2018,50,98,0,98
MEXICO,2018,Jun,6/1/2018,47,105,3,105
MEXICO,2018,Jul,7/1/2018,56,116,3,116
MEXICO,2018,Aug,8/1/2018,34,68,0,68
MEXICO,2018,Sep,9/1/2018,47,98,4,98
MEXICO,2018,Oct,10/1/2018,60,145,4,145
MEXICO,2018,Nov,11/1/2018,71,209,2,209
MEXICO,2018,Dec,12/1/2018,45,78,1,78
PANAMA,2019,Jan,1/1/2019,37,65,0,65
PANAMA,2019,Feb,2/1/2019,31,44,2,44
PANAMA,2019,Mar,3/1/2019,47,80,0,80
PANAMA,2019,Apr,4/1/2019,53,88,0,88
PANAMA,2019,May,5/1/2019,51,117,1,117
PANAMA,2019,Jun,6/1/2019,52,133,1,133
PANAMA,2019,Jul,7/1/2019,50,105,0,105
PANAMA,2019,Aug,8/1/2019,45,75,0,75
PANAMA,2019,Sep,9/1/2019,43,53,1,53
PANAMA,2019,Oct,10/1/2019,20,31,1,31
PANAMA,2019,Nov,11/1/2019,38,56,0,56
PANAMA,2019,Dec,12/1/2019,34,59,0,59
PANAMA,2020,Jan,1/1/2020,30,55,1,55
PANAMA,2020,Feb,2/1/2020,36,44,0,44
PANAMA,2020,Mar,3/1/2020,46,55,0,55
PANAMA,2020,Apr,4/1/2020,22,31,0,31
PANAMA,2020,May,5/1/2020,22,38,1,38
PANAMA,2020,Jun,6/1/2020,31,47,1,47
PANAMA,2020,Jul,7/1/2020,33,49,0,49
PANAMA,2020,Aug,8/1/2020,36,57,0,57
PANAMA,2020,Sep,9/1/2020,48,68,1,68
PANAMA,2020,Oct,10/1/2020,30,44,0,44
PANAMA,2020,Nov,11/1/2020,86,111,0,111
PANAMA,2020,Dec,12/1/2020,81,139,0,139
PANAMA,2021,Jan,1/1/2021,38,40,0,40
PANAMA,2021,Feb,2/1/2021,57,160,0,160
PANAMA,2021,Mar,3/1/2021,72,252,0,252
PANAMA,2021,Apr,4/1/2021,168,102,110,102
PANAMA,2021,May,5/1/2021,72,99,0,99
