country,year,month,date,shipments,container_total,shipments_vrac,weight_total
GUATEMALA,2020,Jan,1/1/2020,17,81,2,"1,843,511"
GUATEMALA,2020,Feb,2/1/2020,20,137,2,"3,329,330"
GUATEMALA,2020,Mar,3/1/2020,33,121,5,"7,738,740"
GUATEMALA,2020,Apr,4/1/2020,14,55,1,"4,824,841"
GUATEMALA,2020,May,5/1/2020,14,56,0,"1,168,006"
GUATEMALA,2020,Jun,6/1/2020,16,62,4,"10,745,041"
GUATEMALA,2020,Jul,7/1/2020,16,28,1,"467,374"
GUATEMALA,2020,Aug,8/1/2020,22,67,6,"3,059,032"
GUATEMALA,2020,Sep,9/1/2020,22,73,2,"1,458,344"
GUATEMALA,2020,Oct,10/1/2020,23,23,4,"5,415,048"
GUATEMALA,2020,Nov,11/1/2020,19,40,0,"697,168"
GUATEMALA,2020,Dec,12/1/2020,7,7,0,"104,619"
GUATEMALA,2021,Jan,1/1/2021,8,9,0,"118,103"
GUATEMALA,2021,Feb,2/1/2021,30,141,4,"6,220,529"
GUATEMALA,2021,Mar,3/1/2021,30,118,7,"10,088,014"
GUATEMALA,2021,Apr,4/1/2021,21,57,5,"6,516,073"
GUATEMALA,2021,May,5/1/2021,28,169,1,"4,747,412"
GUATEMALA,2021,Jun,6/1/2021,20,95,3,"4,321,995"
GUATEMALA,2021,Jul,7/1/2021,45,126,19,"19,737,217"
GUATEMALA,2021,Aug,8/1/2021,17,38,0,"759,361"
GUATEMALA,2021,Sep,9/1/2021,25,68,4,"3,641,554"
GUATEMALA,2021,Oct,10/1/2021,20,41,0,"780,826"
GUATEMALA,2021,Nov,11/1/2021,24,89,0,"2,032,941"
GUATEMALA,2021,Dec,12/1/2021,25,40,4,"3,061,569"
GUATEMALA,2022,Jan,1/1/2022,36,155,8,"13,529,611"
MEXICO,2020,Jan,1/1/2020,22,175,0,"4,068,506"
MEXICO,2020,Feb,2/1/2020,50,250,1,"4,764,268"
MEXICO,2020,Mar,3/1/2020,65,228,2,"4,292,460"
MEXICO,2020,Apr,4/1/2020,50,228,0,"4,489,409"
MEXICO,2020,May,5/1/2020,39,184,1,"4,135,703"
MEXICO,2020,Jun,6/1/2020,62,233,0,"4,804,448"
MEXICO,2020,Jul,7/1/2020,36,128,0,"2,664,377"
MEXICO,2020,Aug,8/1/2020,43,103,4,"8,411,801"
MEXICO,2020,Sep,9/1/2020,39,93,0,"1,653,001"
MEXICO,2020,Oct,10/1/2020,41,83,2,"1,393,054"
MEXICO,2020,Nov,11/1/2020,43,145,0,"2,979,299"
MEXICO,2020,Dec,12/1/2020,74,199,5,"13,229,286"
MEXICO,2021,Jan,1/1/2021,73,274,9,"28,467,816"
MEXICO,2021,Feb,2/1/2021,31,94,0,"1,976,571"
MEXICO,2021,Mar,3/1/2021,65,192,0,"3,746,523"
MEXICO,2021,Apr,4/1/2021,50,240,0,"5,048,548"
MEXICO,2021,May,5/1/2021,48,195,1,"4,056,225"
MEXICO,2021,Jun,6/1/2021,42,90,4,"1,806,031"
MEXICO,2021,Jul,7/1/2021,39,80,1,"1,283,458"
MEXICO,2021,Aug,8/1/2021,26,42,1,"563,059"
MEXICO,2021,Sep,9/1/2021,51,94,3,"1,568,773"
MEXICO,2021,Oct,10/1/2021,45,87,2,"1,568,097"
MEXICO,2021,Nov,11/1/2021,40,98,0,"1,885,572"
MEXICO,2021,Dec,12/1/2021,29,89,0,"1,683,790"
MEXICO,2022,Jan,1/1/2022,37,84,3,"1,638,830"
PANAMA,2020,Jan,1/1/2020,30,55,1,"819,149"
PANAMA,2020,Feb,2/1/2020,36,44,0,"717,179"
PANAMA,2020,Mar,3/1/2020,46,55,0,"803,075"
PANAMA,2020,Apr,4/1/2020,22,31,0,"490,679"
PANAMA,2020,May,5/1/2020,22,38,1,"475,543"
PANAMA,2020,Jun,6/1/2020,31,47,1,"951,604"
PANAMA,2020,Jul,7/1/2020,33,49,0,"714,402"
PANAMA,2020,Aug,8/1/2020,36,57,0,"858,000"
PANAMA,2020,Sep,9/1/2020,48,68,1,"1,142,239"
PANAMA,2020,Oct,10/1/2020,30,44,0,"716,889"
PANAMA,2020,Nov,11/1/2020,86,111,0,"1,501,245"
PANAMA,2020,Dec,12/1/2020,81,139,0,"2,341,384"
PANAMA,2021,Jan,1/1/2021,38,40,0,"599,471"
PANAMA,2021,Feb,2/1/2021,57,160,0,"2,754,242"
PANAMA,2021,Mar,3/1/2021,72,252,0,"5,613,077"
PANAMA,2021,Apr,4/1/2021,168,102,110,"2,202,710"
PANAMA,2021,May,5/1/2021,72,99,0,"1,147,454"
PANAMA,2021,Jun,6/1/2021,78,76,13,"1,279,675"
PANAMA,2021,Jul,7/1/2021,133,58,90,"1,462,534"
PANAMA,2021,Aug,8/1/2021,65,80,0,"1,181,627"
PANAMA,2021,Sep,9/1/2021,72,96,6,"1,403,498"
PANAMA,2021,Oct,10/1/2021,89,115,11,"2,249,207"
PANAMA,2021,Nov,11/1/2021,68,86,0,"1,417,589"
PANAMA,2021,Dec,12/1/2021,101,164,0,"3,470,219"
PANAMA,2022,Jan,1/1/2022,96,127,21,"2,845,567"
SINGAPORE,2020,Jan,1/1/2020,2,2,0,"22,334"
SINGAPORE,2020,Mar,3/1/2020,1,1,0,"18,456"
SINGAPORE,2020,Apr,4/1/2020,6,9,0,"78,980"
SINGAPORE,2020,May,5/1/2020,3,32,0,"779,912"
SINGAPORE,2020,Jun,6/1/2020,4,7,0,"38,771"
SINGAPORE,2020,Jul,7/1/2020,4,8,0,"179,774"
SINGAPORE,2020,Aug,8/1/2020,4,8,0,"114,688"
SINGAPORE,2020,Sep,9/1/2020,2,4,0,"38,260"
SINGAPORE,2020,Oct,10/1/2020,1,2,0,"51,117"
SINGAPORE,2020,Nov,11/1/2020,1,1,0,"5,698"
SINGAPORE,2020,Dec,12/1/2020,1,1,0,"6,559"
SINGAPORE,2021,Jan,1/1/2021,1,1,0,"4,608"
SINGAPORE,2021,Feb,2/1/2021,1,1,0,"17,616"
SINGAPORE,2021,Apr,4/1/2021,1,1,0,"17,616"
SINGAPORE,2021,Jul,7/1/2021,1,1,0,"17,520"
SINGAPORE,2021,Sep,9/1/2021,2,2,0,"37,592"
SINGAPORE,2021,Nov,11/1/2021,2,2,0,"18,860"
SINGAPORE,2021,Dec,12/1/2021,1,2,0,"36,006"
ALBANIA,2020,Nov,11/1/2020,2,2,0,"50,400"
ALGERIA,2021,Sep,9/1/2021,1,2,0,"45,752"
ALGERIA,2021,Nov,11/1/2021,1,2,0,"5,000"
n/a,2020,Jan,1/1/2020,3,3,0,"69,248"
n/a,2020,Feb,2/1/2020,2,3,0,"69,754"
n/a,2020,Mar,3/1/2020,2,2,0,"47,095"
n/a,2020,Apr,4/1/2020,3,3,0,"67,243"
n/a,2020,May,5/1/2020,1,2,0,"46,234"
n/a,2020,Jun,6/1/2020,1,1,0,"7,709"
n/a,2020,Aug,8/1/2020,4,4,0,"100,748"
n/a,2020,Sep,9/1/2020,3,3,0,"73,329"
n/a,2020,Oct,10/1/2020,2,2,0,"1,101"
ANTIGUA AND BARBUDA,2020,Apr,4/1/2020,2,0,2,"20,085,000"
ARGENTINA,2020,Jan,1/1/2020,5,14,1,"2,193,605"
ARGENTINA,2020,Feb,2/1/2020,5,17,0,"406,716"
ARGENTINA,2020,Mar,3/1/2020,12,34,1,"9,688,745"
ARGENTINA,2020,Apr,4/1/2020,20,48,0,"1,063,625"
ARGENTINA,2020,May,5/1/2020,16,40,0,"909,514"
ARGENTINA,2020,Jun,6/1/2020,17,41,1,"1,676,069"
ARGENTINA,2020,Jul,7/1/2020,11,18,1,"4,718,136"
ARGENTINA,2020,Aug,8/1/2020,14,43,0,"992,574"
ARGENTINA,2020,Sep,9/1/2020,11,30,0,"661,262"
ARGENTINA,2020,Oct,10/1/2020,11,22,0,"490,976"
ARGENTINA,2020,Nov,11/1/2020,7,19,0,"438,430"
ARGENTINA,2020,Dec,12/1/2020,12,20,0,"467,773"
ARGENTINA,2021,Jan,1/1/2021,12,29,0,"701,487"
ARGENTINA,2021,Feb,2/1/2021,8,14,0,"304,993"
ARGENTINA,2021,Mar,3/1/2021,11,16,2,"398,454"
ARGENTINA,2021,Apr,4/1/2021,12,22,6,"610,558"
ARGENTINA,2021,May,5/1/2021,8,16,0,"369,607"
ARGENTINA,2021,Jun,6/1/2021,9,29,5,"756,208"
ARGENTINA,2021,Jul,7/1/2021,22,60,2,"1,469,474"
