country,year,month,date,shipments,container_total,shipments_vrac,weight_total
GUATEMALA,2019,Jan,1/1/2019,232,232,3,5592550
GUATEMALA,2019,Feb,2/1/2019,140,140,4,12676428
GUATEMALA,2019,Mar,3/1/2019,108,108,1,2052499
GUATEMALA,2019,Apr,4/1/2019,121,121,1,1807051
GUATEMALA,2019,May,5/1/2019,91,91,3,2190695
GUATEMALA,2019,Jun,6/1/2019,114,114,10,4560391
GUATEMALA,2019,Jul,7/1/2019,242,242,11,8615191
GUATEMALA,2019,Aug,8/1/2019,89,89,6,3989680
GUATEMALA,2019,Sep,9/1/2019,91,91,7,2000008
GUATEMALA,2019,Oct,10/1/2019,143,143,4,7046941
GUATEMALA,2019,Nov,11/1/2019,119,119,2,3982798
GUATEMALA,2019,Dec,12/1/2019,60,60,1,1386015
GUATEMALA,2020,Jan,1/1/2020,140,140,2,3407004
GUATEMALA,2020,Feb,2/1/2020,137,137,2,3329330
GUATEMALA,2020,Mar,3/1/2020,150,150,5,8505006
GUATEMALA,2020,Apr,4/1/2020,145,145,1,6678149
GUATEMALA,2020,May,5/1/2020,175,175,0,4275597
GUATEMALA,2020,Jun,6/1/2020,162,162,4,13340705
GUATEMALA,2020,Jul,7/1/2020,87,87,1,2008415
GUATEMALA,2020,Aug,8/1/2020,88,88,9,9929215
GUATEMALA,2020,Sep,9/1/2020,93,93,2,1958844
GUATEMALA,2020,Oct,10/1/2020,23,23,4,5415048
GUATEMALA,2020,Nov,11/1/2020,86,86,0,1919582
GUATEMALA,2020,Dec,12/1/2020,58,58,5,10370058
GUATEMALA,2021,Jan,1/1/2021,169,169,6,11485424
GUATEMALA,2021,Feb,2/1/2021,133,133,4,6040940
GUATEMALA,2021,Mar,3/1/2021,118,118,7,10088014
GUATEMALA,2021,Apr,4/1/2021,57,57,5,6516073
GUATEMALA,2021,May,5/1/2021,169,169,1,4747412
GUATEMALA,2021,Jun,6/1/2021,95,95,3,4321995
GUATEMALA,2021,Jul,7/1/2021,126,126,19,19737217
GUATEMALA,2021,Aug,8/1/2021,38,38,0,759361
GUATEMALA,2021,Sep,9/1/2021,68,68,4,3641554
GUATEMALA,2021,Oct,10/1/2021,41,41,0,780826
GUATEMALA,2021,Nov,11/1/2021,89,89,0,2032941
GUATEMALA,2021,Dec,12/1/2021,40,40,4,3061569
MEXICO,2019,Jan,1/1/2019,124,124,3,2268468
MEXICO,2019,Feb,2/1/2019,103,103,2,1550141
MEXICO,2019,Mar,3/1/2019,120,120,2,1858361
MEXICO,2019,Apr,4/1/2019,147,147,2,2840235
MEXICO,2019,May,5/1/2019,230,230,3,4413402
MEXICO,2019,Jun,6/1/2019,242,242,1,4133783
MEXICO,2019,Jul,7/1/2019,191,191,2,2948814
MEXICO,2019,Aug,8/1/2019,155,155,2,2508997
MEXICO,2019,Sep,9/1/2019,169,169,3,3123547
MEXICO,2019,Oct,10/1/2019,245,245,2,5023760
MEXICO,2019,Nov,11/1/2019,73,73,1,1033620
MEXICO,2019,Dec,12/1/2019,129,129,4,2912714
MEXICO,2020,Jan,1/1/2020,166,166,1,3262313
MEXICO,2020,Feb,2/1/2020,288,288,1,5383316
MEXICO,2020,Mar,3/1/2020,240,240,2,4112059
MEXICO,2020,Apr,4/1/2020,157,157,0,2920587
MEXICO,2020,May,5/1/2020,92,92,1,1357629
MEXICO,2020,Jun,6/1/2020,159,159,0,2597596
MEXICO,2020,Jul,7/1/2020,97,97,0,1505182
MEXICO,2020,Aug,8/1/2020,127,127,1,2228669
MEXICO,2020,Sep,9/1/2020,126,126,0,1945306
MEXICO,2020,Oct,10/1/2020,114,114,2,1882935
MEXICO,2020,Nov,11/1/2020,99,99,0,1756885
MEXICO,2020,Dec,12/1/2020,151,151,0,2986211
MEXICO,2021,Jan,1/1/2021,158,158,3,18179996
MEXICO,2021,Feb,2/1/2021,106,106,0,2309505
MEXICO,2021,Mar,3/1/2021,192,192,0,3746523
MEXICO,2021,Apr,4/1/2021,240,240,0,5048548
MEXICO,2021,May,5/1/2021,189,189,1,3963586
MEXICO,2021,Jun,6/1/2021,90,90,4,1806031
MEXICO,2021,Jul,7/1/2021,77,77,1,1267558
MEXICO,2021,Aug,8/1/2021,39,39,1,547912
MEXICO,2021,Sep,9/1/2021,92,92,3,1561009
MEXICO,2021,Oct,10/1/2021,87,87,2,1568097
MEXICO,2021,Nov,11/1/2021,97,97,0,1879523
MEXICO,2021,Dec,12/1/2021,89,89,0,1683790
PANAMA,2019,Jan,1/1/2019,11,11,0,73497
PANAMA,2019,Feb,2/1/2019,13,13,1,218384
PANAMA,2019,Mar,3/1/2019,10,10,0,125795
PANAMA,2019,Apr,4/1/2019,14,14,0,201483
PANAMA,2019,May,5/1/2019,11,11,1,341739
PANAMA,2019,Jun,6/1/2019,8,8,0,68101
PANAMA,2019,Jul,7/1/2019,16,16,0,224149
PANAMA,2019,Aug,8/1/2019,29,29,0,434741
PANAMA,2019,Sep,9/1/2019,29,29,0,440428
PANAMA,2019,Oct,10/1/2019,3,3,1,34218
PANAMA,2019,Nov,11/1/2019,20,20,0,276709
PANAMA,2019,Dec,12/1/2019,8,8,0,64851
PANAMA,2020,Jan,1/1/2020,5,5,0,61849
PANAMA,2020,Feb,2/1/2020,8,8,0,140861
PANAMA,2020,Mar,3/1/2020,14,14,0,217210
PANAMA,2020,Apr,4/1/2020,11,11,0,201223
PANAMA,2020,May,5/1/2020,12,12,1,167935
PANAMA,2020,Jun,6/1/2020,21,21,1,568378
PANAMA,2020,Jul,7/1/2020,21,21,0,332557
PANAMA,2020,Aug,8/1/2020,12,12,0,170949
PANAMA,2020,Sep,9/1/2020,16,16,1,371207
PANAMA,2020,Oct,10/1/2020,15,15,0,268153
PANAMA,2020,Nov,11/1/2020,111,111,0,1501245
PANAMA,2020,Dec,12/1/2020,139,139,0,2341384
PANAMA,2021,Jan,1/1/2021,44,44,0,671823
PANAMA,2021,Feb,2/1/2021,140,140,0,2674242
PANAMA,2021,Mar,3/1/2021,225,225,0,4944512
PANAMA,2021,Apr,4/1/2021,122,122,110,2724686
PANAMA,2021,May,5/1/2021,99,99,0,1147454
PANAMA,2021,Jun,6/1/2021,76,76,13,1279675
PANAMA,2021,Jul,7/1/2021,57,57,90,1441192
PANAMA,2021,Aug,8/1/2021,76,76,0,1113467
PANAMA,2021,Sep,9/1/2021,96,96,6,1403498
PANAMA,2021,Oct,10/1/2021,115,115,11,2249207
PANAMA,2021,Nov,11/1/2021,86,86,0,1417589
PANAMA,2021,Dec,12/1/2021,164,164,0,3470219
SINGAPORE,2019,Jan,1/1/2019,1,1,0,22546
SINGAPORE,2019,Feb,2/1/2019,5,5,0,114901
SINGAPORE,2019,Mar,3/1/2019,2,2,0,21707
SINGAPORE,2019,Apr,4/1/2019,5,5,0,24811
SINGAPORE,2019,May,5/1/2019,1,1,0,18525
SINGAPORE,2019,Jun,6/1/2019,6,6,0,91798
SINGAPORE,2019,Jul,7/1/2019,1,1,0,7986
SINGAPORE,2019,Aug,8/1/2019,2,2,1,2058166
