country,year,month,date,shipments,container_total,shipments_vrac,weight_total
GUATEMALA,2019,Jun,06/01/2019,30,60,9,1230438
GUATEMALA,2019,Jul,07/01/2019,32,109,11,5117223
GUATEMALA,2019,Aug,08/01/2019,22,79,6,3723938
GUATEMALA,2019,Sep,09/01/2019,31,78,7,1654543
GUATEMALA,2019,Oct,10/01/2019,18,100,4,5904038
GUATEMALA,2019,Nov,11/01/2019,16,119,2,3982798
GUATEMALA,2019,Dec,12/01/2019,12,60,1,1386015
GUATEMALA,2020,Jan,01/01/2020,17,81,2,1843511
GUATEMALA,2020,Feb,02/01/2020,20,137,2,3329330
GUATEMALA,2020,Mar,03/01/2020,33,121,5,7738740
GUATEMALA,2020,Apr,04/01/2020,14,55,1,4824841
GUATEMALA,2020,May,05/01/2020,14,56,0,1168006
GUATEMALA,2020,Jun,06/01/2020,16,62,4,10745041
GUATEMALA,2020,Jul,07/01/2020,16,28,1,467374
GUATEMALA,2020,Aug,08/01/2020,22,67,6,3059032
GUATEMALA,2020,Sep,09/01/2020,22,73,2,1458344
GUATEMALA,2020,Oct,10/01/2020,23,23,4,5415048
GUATEMALA,2020,Nov,11/01/2020,19,40,0,697168
GUATEMALA,2020,Dec,12/01/2020,8,11,0,128619
GUATEMALA,2021,Jan,01/01/2021,9,11,0,130103
GUATEMALA,2021,Feb,02/01/2021,30,141,4,6220529
GUATEMALA,2021,Mar,03/01/2021,30,118,7,10088014
GUATEMALA,2021,Apr,04/01/2021,21,57,5,6516073
GUATEMALA,2021,May,05/01/2021,28,169,1,4747412
MEXICO,2019,Jun,06/01/2019,62,171,1,5105596
MEXICO,2019,Jul,07/01/2019,44,235,2,5089055
MEXICO,2019,Aug,08/01/2019,53,119,2,2135484
MEXICO,2019,Sep,09/01/2019,51,159,2,3182336
MEXICO,2019,Oct,10/01/2019,53,260,2,5745091
MEXICO,2019,Nov,11/01/2019,28,37,1,589151
MEXICO,2019,Dec,12/01/2019,29,78,4,2077623
MEXICO,2020,Jan,01/01/2020,22,175,0,4068506
MEXICO,2020,Feb,02/01/2020,50,250,1,4764268
MEXICO,2020,Mar,03/01/2020,65,228,2,4292460
MEXICO,2020,Apr,04/01/2020,50,228,0,4489409
MEXICO,2020,May,05/01/2020,39,184,1,4135703
MEXICO,2020,Jun,06/01/2020,62,233,0,4804448
MEXICO,2020,Jul,07/01/2020,36,128,0,2664377
MEXICO,2020,Aug,08/01/2020,43,103,4,8411801
MEXICO,2020,Sep,09/01/2020,39,93,0,1653001
MEXICO,2020,Oct,10/01/2020,41,83,2,1393054
MEXICO,2020,Nov,11/01/2020,43,145,0,2979299
MEXICO,2020,Dec,12/01/2020,73,198,5,13227649
MEXICO,2021,Jan,01/01/2021,75,317,9,29557648
MEXICO,2021,Feb,02/01/2021,31,94,0,1976571
MEXICO,2021,Mar,03/01/2021,65,192,0,3746523
MEXICO,2021,Apr,04/01/2021,50,240,0,5048548
MEXICO,2021,May,05/01/2021,48,195,1,4056225
PANAMA,2019,Jun,06/01/2019,52,133,1,2426241
PANAMA,2019,Jul,07/01/2019,50,105,0,1581877
PANAMA,2019,Aug,08/01/2019,45,75,0,1073996
PANAMA,2019,Sep,09/01/2019,43,53,1,743773
PANAMA,2019,Oct,10/01/2019,20,31,1,455790
PANAMA,2019,Nov,11/01/2019,38,56,0,721179
PANAMA,2019,Dec,12/01/2019,34,59,0,899943
PANAMA,2020,Jan,01/01/2020,30,55,1,819149
PANAMA,2020,Feb,02/01/2020,36,44,0,717179
PANAMA,2020,Mar,03/01/2020,46,55,0,803075
PANAMA,2020,Apr,04/01/2020,22,31,0,490679
PANAMA,2020,May,05/01/2020,22,38,1,475543
PANAMA,2020,Jun,06/01/2020,31,47,1,951604
